Ctrl_602_R1B1	LMP_602_R1B1	Ola_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000010626.15|LRRC23	112.82	96.86	110.09	87.03	87.95	75.1	74.37	68
ENSG00000010803.16|SCMH1	716	701	713	788.99	674	680.99	657.99	700
ENSG00000010810.17|FYN	5811	4527	6058	4743	5997	5002	5488	4584
ENSG00000010818.10|HIVEP2	231	282	369	305.92	259	308	288	322
ENSG00000011007.12|ELOA	2063.09	2157.22	2401.52	2487.82	2131.73	2435.47	2053.23	2447.73
ENSG00000011009.11|LYPLA2	1121	1124	1192	1165	1011.99	1265	1160	1193
ENSG00000011021.23|CLCN6	982	882.22	1109.51	1036.82	1011.3	1083.68	961.05	894.19
ENSG00000011028.14|AC080038.1	1910.84	1928.79	2018.68	2036.74	2217.95	2438.81	2372.79	2263.66
ENSG00000011052.21|NME1-NME2	368.25	310.84	449.69	238.5	152.01	379.94	222.41	340.43
ENSG00000011105.14|TSPAN9	597	585	648	573	600	663	572	641
ENSG00000011114.15|BTBD7	705	736	945	842	878	819	751	798
ENSG00000011132.12|APBA3	275	272	298.98	330.56	271	379	298	385
ENSG00000011143.16|MKS1	462	575	561	554	499	613	536	538
ENSG00000011198.9|ABHD5	362	358	424	416	436	363	391	432
ENSG00000011243.18|AKAP8L	2131.32	2008.69	2233.16	2235.24	1897.11	2342.1	1961.65	1950.8
ENSG00000011258.16|MBTD1	740	797	974	812	880	825	787	862
ENSG00000011260.14|UTP18	722	830	936	942	920	891	867	997
ENSG00000011275.18|RNF216	1874.23	1921.16	2100.73	1966.91	1764.75	1939.08	1777.46	1842.7
ENSG00000011295.16|TTC19	918.94	955.69	1029.35	1058.03	1030	1044.87	968.66	1049.25
ENSG00000011304.20|PTBP1	6574	7083	7791	7972	6742	7573	6715	7152
ENSG00000011332.19|DPF1	318	316	321	393	347	405	366	424
ENSG00000011347.9|SYT7	10	10	12	21	6	8	7	6
ENSG00000011376.11|LARS2	698	667	775	765	706	768	706	714
ENSG00000011405.13|PIK3C2A	1398	1584	1630	1800	1608	1804	1460	1611
ENSG00000011422.12|PLAUR	139	112	165	166	120	101	97	124
ENSG00000011426.11|ANLN	2874	3799	3872	4428	3219	3827	2996	4173
ENSG00000011451.19|WIZ	1927	2195	2267	2421	1773	2259	2023	1906
ENSG00000011454.17|RABGAP1	2418	2520	2847	2613	2709	2668	2475	2433
ENSG00000011478.12|QPCTL	120	120	128	150	126	154	114	117
ENSG00000011485.14|PPP5C	1622.04	1655	1719	1866	1417	1800	1496	1702
ENSG00000011523.14|CEP68	921	973.1	1075.12	1079.07	936.02	1047.06	905	1061.79
ENSG00000011566.15|MAP4K3	739	799	892	794	803	775	713	793
ENSG00000011638.10|TMEM159	57	57	67	60	65	45	37	58
ENSG00000012048.22|BRCA1	1233	1372	1552	1930	1403	1612	1283	2003
ENSG00000012061.15|ERCC1	1605.61	1615.21	1823.44	1747.58	1435.43	1708.8	1500.69	1434.54
ENSG00000012171.19|SEMA3B	159	200	153	193	134	161	108	146
ENSG00000012174.12|MBTPS2	640.66	775.6	853.89	759.11	773	802.99	716.06	719.64
ENSG00000012232.8|EXTL3	4340	4569	5080	4824	3769	4305	3946	3926
ENSG00000012660.14|ELOVL5	903	922	1050	1045	1023	1217	906	1136
ENSG00000012822.16|CALCOCO1	1390	1261	1506	1349	1321	1362	1281	1260
ENSG00000012963.15|UBR7	1526	1510.99	1613	1775.41	1471.68	1582	1304	1666.03
ENSG00000012983.11|MAP4K5	770	897	976	906	964	945	833	997
ENSG00000013016.16|EHD3	154	132	155	122	172	146	145	138
ENSG00000013275.7|PSMC4	1711	1781	1874	1815	1576	1807	1725	1878
ENSG00000013288.8|MAN2B2	584	576	638	633	634	692	670	611
ENSG00000013306.16|SLC25A39	1311	1345	1357	1479	1123	1481	1232	1372
ENSG00000013364.19|MVP	96	73.14	91	98	66.41	73.65	76	91
ENSG00000013374.16|NUB1	511	464	604.87	537.96	543.97	574.98	513.91	522
ENSG00000013375.16|PGM3	968.25	1052.3	1202.85	1171.95	1127.22	1044.56	1027.91	1181.49
ENSG00000013392.8|RWDD2A	183	239	262	216	219	215	195	225
ENSG00000013441.16|CLK1	1416	1575	1792	1815	1872	1948	1648	1915
ENSG00000013503.10|POLR3B	281	258	346	266	257	292	273	269
ENSG00000013523.9|ANGEL1	2387.27	2317.9	2791.89	2341.11	2596.57	2597.95	2452.1	2565.41
ENSG00000013561.18|RNF14	386	477	472	521.97	545	578	479	581
ENSG00000013563.14|DNASE1L1	81.17	131.66	133.12	151.11	114.9	138.91	110.26	140.08
ENSG00000013573.17|DDX11	1384.44	1319	1496.58	1620.69	1174.68	1450.5	1199.42	1446.49
ENSG00000013583.10|HEBP1	146	148.75	168	150	108	128	124	154
ENSG00000013588.8|GPRC5A	14	11	8	7	12	15	21	19
ENSG00000013619.14|MAMLD1	687	604	717	625	615	636	662	567
ENSG00000013810.19|TACC3	3293.54	3983.57	3821.37	4670	2890	4223	3175	4073.31
ENSG00000014123.10|UFL1	715	864	952	1032	857	931	868	932
ENSG00000014138.9|POLA2	667.65	700.79	742.54	970.34	625.31	747.3	613.94	939.06
ENSG00000014164.7|ZC3H3	291	349	297	349	283	377	271	260
ENSG00000014216.15|CAPN1	1062.8	1229	1134.43	1217.71	993	1302	1055	1194
ENSG00000014641.18|MDH1	2264.79	2621	2569.25	2907.11	2334.7	2572.59	2395.88	2724.72
ENSG00000014824.14|SLC30A9	959	995	1118	1020	1106	929	944	997
ENSG00000014914.21|MTMR11	119	152	150	141	170	180	137	166
ENSG00000014919.12|COX15	533.47	600.87	662.82	563.84	601.28	628.61	563.42	645.33
ENSG00000015133.19|CCDC88C	363	381	421	367	319	351	320	351
ENSG00000015153.14|YAF2	134	143	166	152	167	154	160	135
ENSG00000015171.19|ZMYND11	1201	1143	1325	1200	1325	1387	1226	1257
ENSG00000015285.10|WAS	41	36	47	38	34	43	43	47
ENSG00000015475.18|BID	549	506	587	573	452	472	459	484
ENSG00000015479.18|MATR3	7298.05	7463.46	8206.63	8078.38	7854.67	7632.99	6569.11	7600.97
ENSG00000015532.9|XYLT2	461	508	535	573	426	569	539	528
