LMP_923_R2B1	LMP.Olap_923_R2B1	LMP_923_R3B1	LMP.Olap_923_R3B1	LMP_923_R1B2	LMP.Olap_923_R1B2
ENSG00000011275.18|RNF216	2511.66	2637	1937.96	2739.67	2657	2492
ENSG00000011295.16|TTC19	1056	915.9	672.59	1069.64	1100.18	774
ENSG00000011304.20|PTBP1	4933	4322	4227	4908	5325	4299
ENSG00000011332.19|DPF1	762	658	599	764	838	627
ENSG00000011347.9|SYT7	310	265	272	344	318	298
ENSG00000011376.11|LARS2	2454	2615	1870	2926	2718	2578
ENSG00000011405.13|PIK3C2A	2868	2742	1882	3216	2928	2522
ENSG00000011422.12|PLAUR	144	73	79	71	135	46
ENSG00000011426.11|ANLN	3905	3988	2949	4387	4453	3832
ENSG00000011451.19|WIZ	1476	1397	1332	1429	1502	1339
ENSG00000011454.17|RABGAP1	2163	2270	1602	2487	2404	2010
ENSG00000011465.17|DCN	21	30	21	27	15	19
ENSG00000011478.12|QPCTL	238	288	236	326	254	318
ENSG00000011485.14|PPP5C	2820	2733	2060	2674.99	2979.8	2430
ENSG00000011523.14|CEP68	1192.74	1294.74	911.16	1388.15	1280.59	1249
ENSG00000011566.15|MAP4K3	949	870	696	1003	1031	794
ENSG00000011638.10|TMEM159	87	79	62	61	51	67
ENSG00000012048.22|BRCA1	1664	1894	1027	2078	1865	1699
ENSG00000012061.15|ERCC1	1481.92	1364.77	1144.91	1376.7	1516.84	1176.23
ENSG00000012124.17|CD22	4	16	7	12	5	11
ENSG00000012171.19|SEMA3B	597	779	514	779	585	683
ENSG00000012174.12|MBTPS2	1147.78	1028.6	832.91	1238	1158.78	1018.61
ENSG00000012211.13|PRICKLE3	78.1	73.39	78.61	75.81	78.21	81.31
ENSG00000012232.8|EXTL3	9227	10444	7434	11655	9997	10394
ENSG00000012660.14|ELOVL5	3583	3276	2450	3947	3685	3226
ENSG00000012822.16|CALCOCO1	1119	1090	734	989	1092	758
ENSG00000012963.15|UBR7	1816.16	1609	1074	1701	1883.99	1410
ENSG00000012983.11|MAP4K5	1393	1243	845.99	1346	1429	1011
ENSG00000013016.16|EHD3	304	209	223	208	307	152
ENSG00000013275.7|PSMC4	2357	2263	1833	2435	2464	2183
ENSG00000013288.8|MAN2B2	453	461	380	451	523	374
ENSG00000013297.11|CLDN11	17	21	18	9	13	7
ENSG00000013306.16|SLC25A39	1723	1826	1532	1864	1830	1871
ENSG00000013364.19|MVP	41	21	29	28.03	42	16
ENSG00000013374.16|NUB1	1173.6	1003.62	805.76	1080.72	1171.65	911.78
ENSG00000013375.16|PGM3	1363.68	1162.77	917.89	1226.25	1360.03	1001.5
ENSG00000013392.8|RWDD2A	187	167	153	181	212	162
ENSG00000013441.16|CLK1	794	647	588	729	679	452
ENSG00000013503.10|POLR3B	376	315	270	453	437	331
ENSG00000013523.9|ANGEL1	1137.09	1152.97	955.17	1222.54	1280.09	998.77
ENSG00000013561.18|RNF14	810	898	692	909	949	740
