Ctrl_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP.Olap_602_R2B2
ENSG00000018869.16|ZNF582	94.63	112.11	110.45	123.29
ENSG00000019144.19|PHLDB1	1089.18	1132	944	1079
ENSG00000019485.13|PRDM11	355	403	355	333
ENSG00000019549.12|SNAI2	119	92	179	144
ENSG00000019995.6|ZRANB1	489.43	598.39	487.89	566.51
ENSG00000020129.16|NCDN	567	615	529	523
ENSG00000020181.17|ADGRA2	79.97	108.91	80.46	103.13
ENSG00000020256.20|ZFP64	498	531	411	474
ENSG00000020426.11|MNAT1	406	405	415	371
ENSG00000020577.13|SAMD4A	876	813	931	820
ENSG00000020633.18|RUNX3	22	20	15	17
ENSG00000020922.12|MRE11	441	589	490	592
ENSG00000021300.14|PLEKHB1	1666	1778	1447	1572
ENSG00000021574.12|SPAST	398	469	464	472
ENSG00000021762.20|OSBPL5	336	395	346	352
ENSG00000021776.11|AQR	2071	2317	2424	2236
ENSG00000021826.15|CPS1	1432	1435	1552	1250
ENSG00000022267.17|FHL1	811	915	718	865
ENSG00000022277.12|RTF2	2117.74	2214	2081	2067
ENSG00000022567.9|SLC45A4	205	221	219	231
ENSG00000022840.16|RNF10	1424	1640	1540	1639
ENSG00000022976.15|ZNF839	231.31	309.65	217.88	260.35
ENSG00000023041.11|ZDHHC6	501	638	639.47	671
ENSG00000023171.18|GRAMD1B	29	33	19	32
ENSG00000023191.17|RNH1	1210	1382	1131	1097
ENSG00000023228.14|NDUFS1	2965.85	3438.28	3208.49	3517.11
ENSG00000023287.13|RB1CC1	860	997	1087	1061
ENSG00000023318.8|ERP44	927	969	1024	1007
ENSG00000023330.15|ALAS1	772	864	814	833
ENSG00000023516.9|AKAP11	797	965	1121	1098
ENSG00000023572.9|GLRX2	428.41	485.55	438.83	456.12
ENSG00000023608.5|SNAPC1	277.46	338.43	330.86	387
ENSG00000023697.13|DERA	368	413	388	375
ENSG00000023734.11|STRAP	1724	1899	1742	1760
ENSG00000023902.14|PLEKHO1	1014	1120	891	1057
ENSG00000023909.10|GCLM	168	227	242	250
ENSG00000024048.10|UBR2	902	1126	1150	1113
ENSG00000024422.12|EHD2	1169	1349	1167	1378
ENSG00000024526.17|DEPDC1	523.44	735.06	617.55	608.02
ENSG00000024862.17|CCDC28A	71	76	113	94
ENSG00000025039.14|RRAGD	719	1156	712	922
ENSG00000025156.12|HSF2	485	546	524	529
ENSG00000025293.17|PHF20	1331	1592	1507	1549
ENSG00000025423.11|HSD17B6	16	12	21	21
ENSG00000025434.19|NR1H3	195	257	187	300
