	Ctrl_602_R1B1	Ola_602_R1B1	Ctrl_602_R2B2	Ola_602_R2B2
ENSG00000117395.12|EBNA1BP2	5.54623580051739	5.30659347304267	5.50530542336713	5.34752385019293
ENSG00000117399.14|CDC20	6.73585177842077	6.7436514724133	6.56436151239209	6.91514173844198
ENSG00000117407.17|ARTN	0.694954211317452	-0.340961236379938	0.647556558523141	-0.293563583585627
ENSG00000117408.11|IPO13	5.59719267470327	5.45840220186386	5.41047838082769	5.64511649573944
ENSG00000117410.14|ATP6V0B	5.47828518185138	5.51946505685598	5.37948160734536	5.618268631362
ENSG00000117411.16|B4GALT2	5.82337735795274	5.77068913883151	5.72302353931858	5.87104295746567
ENSG00000117419.15|ERI3	5.30078344280143	5.10080144441661	5.06787218513656	5.33371270208148
ENSG00000117425.14|PTCH2	2.74480851791306	2.65489588179291	2.64959302023401	2.75011137947197
ENSG00000117448.13|AKR1A1	5.17863762780873	5.21745323209846	5.28681045811513	5.10928040179206
ENSG00000117450.14|PRDX1	8.17166140222011	8.13953465810485	8.22710347543096	8.084092584894
ENSG00000117461.15|PIK3R3	6.10261705320458	6.25336826855896	6.17180569284536	6.18417962891817
ENSG00000117475.14|BLZF1	3.95511757110445	4.16190300053629	4.10148338673325	4.01553718490749
ENSG00000117477.12|CCDC181	2.52455107625342	2.20024100787899	2.35949315504089	2.36529892909152
ENSG00000117479.14|SLC19A2	3.22991701460498	3.18980027615436	3.10720769859658	3.31250959216276
ENSG00000117480.16|FAAH	3.08612922642874	3.37352611895149	3.2334821176665	3.22617322771373
ENSG00000117481.10|NSUN4	5.05108207560587	4.95096346510225	5.05635674813419	4.94568879257392
ENSG00000117500.13|TMED5	6.17227386819581	6.20365560582218	6.19827972981889	6.1776497441991
ENSG00000117505.13|DR1	5.52659830346641	5.65934395491748	5.6008715812007	5.5850706771832
ENSG00000117519.16|CNN3	7.82574277125202	7.75193107729515	7.82182477255488	7.7558490759923
ENSG00000117523.16|PRRC2C	7.58413295957434	7.67753137847348	7.64804120996205	7.61362312808577
ENSG00000117525.14|F3	1.99019310353594	1.80101711028429	1.54182060810061	2.24938960571961
ENSG00000117528.13|ABCD3	6.08339656218687	6.03879733933872	6.09581362463921	6.02638027688637
ENSG00000117533.15|VAMP4	3.70108267364089	3.67288904401985	3.82055666759216	3.55341505006858
ENSG00000117543.21|DPH5	4.47494410570497	4.23224091026392	4.41513428083198	4.29205073513691
ENSG00000117569.18|PTBP2	3.98381072820798	4.04028348235911	4.17218381955607	3.85191039101101
ENSG00000117586.11|TNFSF4	-0.834016577018164	0.105728039522354	-0.311165120237411	-0.417123417258399
ENSG00000117592.9|PRDX6	7.51095345036083	7.42764942030353	7.46749291674312	7.47110995392123
ENSG00000117593.11|DARS2	6.07827515379154	6.25835170276314	6.19328807619365	6.14333878036102
ENSG00000117597.18|UTP25	3.90261231276801	3.80838674860928	3.95475335452589	3.7562457068514
ENSG00000117598.12|PLPPR5	5.74832340545008	6.0233456648731	5.80771868535416	5.96395038496902
ENSG00000117600.12|PLPPR4	-0.452424476939343	0.165569940388921	-0.479515898579043	0.192661362028622
ENSG00000117602.12|RCAN3	5.52690392962379	5.64607345640055	5.60764382479342	5.56533356123092
ENSG00000117614.10|SYF2	5.83199289305483	5.63000418524721	5.71349311870298	5.74850395959905
ENSG00000117616.18|RSRP1	5.95229172273394	5.97602561404183	5.97008584230564	5.95823149447013
ENSG00000117620.15|SLC35A3	4.28084577074765	4.21641588580192	4.38348527590703	4.11377638064254
ENSG00000117625.13|RCOR3	5.69291905671893	5.66921150053404	5.674589000935	5.68754155631797
ENSG00000117632.23|STMN1	9.12149952413764	9.0759929363557	9.11313805620997	9.08435440428337
