	Ctrl_923_R2B1	LMP.Olap_923_R2B1	Ctrl_923_R3B1	LMP.Olap_923_R3B1	Ctrl_923_R1B2	LMP.Olap_923_R1B2
ENSG00000132361.17|CLUH	6.14415106884803	6.54266402264507	6.54362537076054	6.5166809346301	6.14969853375843	6.72386216468345
ENSG00000132376.20|INPP5K	4.02246052077517	4.11412661673259	4.09052869194997	4.0248186181033	4.09272581249342	4.0332414112871
ENSG00000132382.14|MYBBP1A	6.39715812198872	6.5583870587449	6.80266136011327	6.57470802649742	6.48266018297366	6.6837971006985
ENSG00000132383.11|RPA1	7.70156810100218	8.00921317886184	7.62178337176495	7.96755918854981	7.67735528101549	7.97270663907391
ENSG00000132386.11|SERPINF1	6.60094103279272	7.01124269618793	6.56620678667534	6.87050177937554	6.58660383820333	6.93784230931244
ENSG00000132388.12|UBE2G1	6.70040457851523	6.46152041596058	6.53521369184745	6.50410209906178	6.53763959789282	6.5629807947997
ENSG00000132394.11|EEFSEC	3.26757102908644	3.31758171018679	3.70846071860943	3.30069770097307	3.35132992199579	3.44582565743208
ENSG00000132405.19|TBC1D14	7.12339776851765	6.99912302745011	7.09559249374104	6.91261871673687	7.08463906215695	6.98072694106589
ENSG00000132406.12|TMEM128	4.81514106138291	4.48038427332641	4.56489526965193	4.46585032610971	4.59464636646298	4.5684890987725
ENSG00000132423.12|COQ3	2.746173145175	2.1742294711008	2.50920913726725	2.10478206485618	2.91229973905557	1.85489717014405
ENSG00000132424.16|PNISR	7.31250088189477	7.4824617053799	7.37923753437096	7.48706759792383	7.4821447407798	7.34848911900494
ENSG00000132432.14|SEC61G	10.1455651301092	10.0042618990175	9.76220948866392	10.0316167455732	10.0607005295656	9.91112610211627
ENSG00000132434.9|LANCL2	8.53854709802962	8.30776530987251	8.61904464821985	8.602078740377	8.52646679727646	8.50725110097304
ENSG00000132436.11|FIGNL1	5.12291276356192	5.35297453239958	5.12339230519628	5.41247421882682	5.19686997703784	5.30900693295446
ENSG00000132437.18|DDC	-0.689607616206106	0.419415137206287	-0.0137523872540222	0.346505871966515	-0.72226996454754	0.753550467403876
ENSG00000132463.14|GRSF1	7.66635447323197	7.57544739846848	7.47352983055289	7.64634772968788	7.58825580546049	7.59258391051012
ENSG00000132466.18|ANKRD17	8.02957726809239	8.02889709508116	8.03430237978494	8.04370738233289	8.03362283070968	8.03461923193601
ENSG00000132467.4|UTP3	5.8357816293261	5.64890302045742	5.62342646648486	5.6112916923537	5.62154392660871	5.73815747770233
ENSG00000132470.14|ITGB4	0.950123592549296	2.34419905150062	1.09923284359338	1.38098777665907	0.561014917028935	2.32625671512225
ENSG00000132471.12|WBP2	6.10656781013612	6.4393522733309	6.38386312682306	6.3808615432438	6.15773649621411	6.49758588055283
ENSG00000132475.10|H3F3B	8.33498885640523	8.23986732237282	8.23595936479267	8.20154243790006	8.3217190977927	8.18445989294269
ENSG00000132478.10|UNK	5.3810833682458	5.65627216746292	5.71308299211907	5.54155170117418	5.52409337882045	5.62190173568054
ENSG00000132481.7|AC087289.1	3.69945710309646	4.42743994673616	3.99877614828791	3.95475477081567	3.7305008703034	4.3097131141647
ENSG00000132485.14|ZRANB2	6.88622700072663	6.75178792062279	6.64817903150343	6.73940975243317	6.82550174304049	6.68730010960252
ENSG00000132507.18|EIF5A	8.78194565500227	8.58173412526334	8.81706665554815	8.64253584355399	8.76633279696072	8.64530834272317
ENSG00000132510.10|KDM6B	5.3023915221299	5.60186192472111	5.95081833851465	5.51639278113193	5.67931140421805	5.50642087903075
ENSG00000132522.16|GPS2	5.59316739850268	5.53919076319728	5.77315299752742	5.47026089704075	5.71046252258625	5.47742350554782
ENSG00000132530.17|XAF1	-0.957648274748693	-0.416384075488479	-0.0835268587213251	0.55900893541419	-0.768350403167107	0.319075266394954
ENSG00000132535.19|DLG4	5.86303108273744	6.0759171264792	6.04435275842684	5.77143522021919	6.0088009891545	5.86856710477684
ENSG00000132541.11|RIDA	4.81562353625708	4.4076772559534	4.58969641672341	4.63933456416361	4.77741695835132	4.44874892819744
ENSG00000132549.18|VPS13B	5.55909560397061	5.13645555076792	5.53594341798931	5.18425944189663	5.57239584698614	5.13548116032609
ENSG00000132561.14|MATN2	6.43438187989283	6.04734196446457	6.28001276270871	6.02877846286239	6.42249093262945	5.97276660233481
ENSG00000132563.16|REEP2	5.79637149066115	6.33735367113834	5.85911303540164	6.31372222292653	5.73822945469217	6.41505075537166
ENSG00000132570.14|PCBD2	3.22639581624533	3.04994150857746	3.18735494130704	3.04457026406594	3.2250426068487	3.02908865824919
ENSG00000132581.9|SDF2	5.48129610239777	5.57502969592044	5.28650208928845	5.51407345508034	5.46779867103536	5.46065200030815
ENSG00000132589.16|FLOT2	7.667708559097	7.97005481082094	7.83366948812689	7.9334233910109	7.69697648430078	8.00545164022709
ENSG00000132591.12|ERAL1	6.1957106927556	6.3138927878209	6.17688880599187	6.20560654850164	6.13810609756957	6.30794331996544
ENSG00000132600.16|PRMT7	5.32381814113565	5.40179233756618	5.54047110302326	5.32394268889445	5.36476021824367	5.43025191706611
ENSG00000132603.15|NIP7	5.50940755259514	5.26795840729479	5.32864749931257	5.33295204441257	5.42094243473176	5.29854031707578
ENSG00000132604.11|TERF2	5.91902577874421	5.88599591480591	5.7229478609408	5.95093675237987	5.85311613601351	5.88633701742188
ENSG00000132612.16|VPS4A	6.98534849419244	6.97120174107771	7.08359050823505	6.87610064624153	7.01727571305914	6.94084498181422
ENSG00000132613.15|MTSS1L	7.78223367447936	8.07577032236258	8.05826718878802	7.93642051181644	7.87641171419985	8.04993413452334
ENSG00000132622.11|HSPA12B	-0.675170766075748	-0.619578932788901	-0.911583962287702	-0.853062035345707	-0.85594327009541	-0.673754578153619
ENSG00000132623.16|ANKEF1	3.29719388778825	3.09894703407641	2.87826547498383	3.20699882710616	3.04820130247727	3.19250130950005
ENSG00000132635.17|PCED1A	6.26261773324207	6.93813134780685	6.41956582876657	6.71800080388863	6.34332513788615	6.82583271896591
ENSG00000132639.12|SNAP25	3.2428185586301	4.16399044466416	3.27660098311144	3.89560611180684	3.41967986860698	3.86982818049929
ENSG00000132640.15|BTBD3	7.38315428537465	7.04971179035733	7.21088526344931	7.19273182979717	7.31648798978148	7.10175359470775
ENSG00000132646.11|PCNA	7.94554639061733	7.89844668326926	7.85045741069848	7.92134961773773	7.9272799289038	7.88062012225759
ENSG00000132661.4|NXT1	4.47910312728143	4.21471419965908	4.24554303492985	4.14845835620736	4.46170019371498	4.08220916532388
ENSG00000132664.12|POLR3F	5.23527184078492	4.9977908012617	5.02831960793377	5.17414699916866	5.0610547001511	5.15670992442343
ENSG00000132669.13|RIN2	2.82915879209331	2.681953294478	2.44330574186023	2.69278493927143	2.59980681761582	2.72379456623566
ENSG00000132670.20|PTPRA	8.06868763794582	8.0038243623793	8.04409681573414	7.95331898146977	8.08540466911178	7.94955922965274
ENSG00000132676.16|DAP3	6.54046658948482	6.61728549907051	6.44050067476464	6.50387425982882	6.51578939631193	6.53527411526247
ENSG00000132680.11|KHDC4	6.15579477528685	6.2891108367475	6.14808421471731	6.12941541946691	6.21131944839218	6.14988317471711
ENSG00000132688.11|NES	11.0788409903892	10.7293694811935	11.0788409903892	10.7779169922098	11.0300987986371	10.8023854284538
ENSG00000132692.19|BCAN	9.67127752236948	8.9087141425149	10.0498014835173	9.03564113698056	9.75797405615725	9.07474308653389
ENSG00000132694.18|ARHGEF11	7.47139726491192	7.85279698277075	7.64324922907592	7.85783222574199	7.53966187924846	7.87297597200184
ENSG00000132716.18|DCAF8	6.88423672124156	6.97621021023585	6.95964755009279	6.97197661944784	6.96555033617321	6.93048521433581
ENSG00000132718.9|SYT11	8.08573713712737	7.81796968536476	7.94847672563618	7.86883770711162	8.00798452862039	7.85252609899958
ENSG00000132740.8|IGHMBP2	3.97898600656996	4.42718388298969	4.37968881546439	4.23870957901117	4.25413212776252	4.25815201425509
ENSG00000132749.11|TESMIN	0.633790521443748	-0.271002842973894	-0.351031732422013	-0.361958576763654	-0.236952151459179	0.0618508361012727
ENSG00000132763.15|MMACHC	3.48039577355581	3.77087405871213	3.42851971788006	3.51174455407522	3.46072855508622	3.63503849702539
ENSG00000132768.14|DPH2	5.70438177106862	5.62931903169942	5.81125702247775	5.64698520470406	5.67345113543043	5.7225203795445
ENSG00000132773.12|TOE1	4.1199364776256	4.27185657421381	4.11938559983515	3.91072403083602	3.96214339902289	4.24880794223239
ENSG00000132780.17|NASP	8.91998504027834	9.0477008062844	8.97537669098162	8.99504434887942	9.03883886176683	8.93021458144507
ENSG00000132781.17|MUTYH	4.48544424410324	5.04737174446649	4.92388579627809	5.07675619584302	4.75283894284165	5.01389004750377
ENSG00000132792.19|CTNNBL1	6.10126860043425	5.84856248556043	5.99675353280367	5.83808536709561	6.10372740658035	5.78860758636664
ENSG00000132801.7|ZSWIM3	2.9706136872394	3.04577564135981	2.81168666747586	3.31753965286184	2.90792409872122	3.16488372574724
ENSG00000132819.17|RBM38	5.52591843732584	6.27418033842569	5.88872192032233	6.09566622657154	5.64212152155099	6.25012193977171
ENSG00000132821.12|VSTM2L	0.0541841114607529	-1.28851661035876	0.495124951045213	-0.896676937720245	-0.0313290559699436	-0.786613186816575
ENSG00000132823.11|OSER1	5.32597820803402	5.27726673906975	5.12483465565063	5.20401412241182	5.17444755973294	5.29159930285017
ENSG00000132824.14|SERINC3	7.38591622724902	7.44782919559033	7.23331360142832	7.40788890843173	7.34115763311347	7.39631633323623
ENSG00000132825.7|PPP1R3D	1.10722697750365	1.2868389406971	0.959235818746786	1.35742611271571	1.12943989278768	1.22592403204394
ENSG00000132842.13|AP3B1	6.08009764619155	5.8695959750634	5.9456179867251	6.01261695662202	6.0122145669442	5.94174971535684
ENSG00000132846.6|ZBED3	5.06348865271406	5.17895955269314	5.2205415824239	5.21079878032582	5.24703938832844	5.08985489575002
ENSG00000132849.20|PATJ	2.85560633128434	2.7648287654232	2.31313007823443	2.72695201816726	2.53972143984853	2.79053715670609
ENSG00000132872.12|SYT4	3.4031537193667	3.42278630669609	2.61085857814434	3.20327637855652	3.13036914919841	3.18966834218342
ENSG00000132879.14|FBXO44	4.31660670177656	4.77144579957807	4.42975044449232	4.39083816340327	4.45062379426188	4.50369676036324
ENSG00000132881.12|CPLANE2	1.42160948035209	1.14056903330654	1.36889816511124	1.42093947177233	1.07893974454374	1.59706833072736
ENSG00000132906.18|CASP9	3.21639272303231	3.2291593173393	3.12088857979357	3.23717522965135	3.11351449457396	3.28829343033431
ENSG00000132912.12|DCTN4	7.30483086967876	7.25760691956674	7.252108349082	7.40367331345996	7.28607092866401	7.32303879722973
ENSG00000132950.19|ZMYM5	3.57914616704695	3.80408291871681	3.51681980185649	3.90066179197452	3.83849681448682	3.56185852531057
ENSG00000132952.12|USPL1	5.354908945254	5.24540651218624	5.33897324500304	5.58835853671169	5.4468637758683	5.31695984370919
ENSG00000132953.16|XPO4	6.51141192883414	6.54949708910741	6.44796029552886	6.70424044221113	6.49764384505111	6.60891103278967
ENSG00000132963.8|POMP	6.13200517216659	5.73770534737606	5.77755471876572	5.88377919386253	6.04057015769503	5.72495205839042
ENSG00000132964.12|CDK8	4.86197514343166	4.81391368881539	5.02368232335206	4.62948781830553	4.97574166959248	4.68878781735984
ENSG00000132967.9|HMGB1P5	4.33437588295259	3.73722040845467	3.97862247028928	4.42872312498589	4.03850371640829	4.20096722693293
ENSG00000132970.12|WASF3	6.25791969464861	6.10461667588974	6.18107793756591	6.09384435087618	6.27677352446225	6.04195580502798
ENSG00000132975.8|GPR12	3.39589944690556	3.6818105950555	3.16005052844328	3.67602630692744	3.34259920511322	3.61429423355267
ENSG00000133019.11|CHRM3	-1.34811634355769	0.248306159150568	-2.11402774251121	-0.328995189968712	-1.91574797640631	0.144331417962792
ENSG00000133026.12|MYH10	8.20397136447098	8.2167633513679	8.2801210488295	8.26805685426328	8.27113275845011	8.21332355101574
ENSG00000133027.18|PEMT	3.36385737418893	3.04633148250915	3.5174871424261	3.20470887274216	3.37270104185059	3.19349139408257
ENSG00000133028.12|SCO1	5.92916673940413	5.73686323108286	5.8141926227769	5.93155354022811	5.84991361466276	5.85597445208325
ENSG00000133030.21|MPRIP	7.47107898996276	7.49076326114216	7.56336412519862	7.41437600781768	7.48959898811074	7.48019220394987
ENSG00000133048.13|CHI3L1	1.87138295149509	2.78919132593643	1.82933370714118	2.74850830731125	1.70613741471697	2.913070731225
ENSG00000133056.13|PIK3C2B	5.90569374976192	6.02628258925567	6.14735652193059	6.13087726291291	6.00782584604312	6.09727921588743
ENSG00000133059.17|DSTYK	5.22804607083577	5.3602323347489	5.15144355836428	5.4701343981563	5.17171269600078	5.43321548505185
ENSG00000133065.11|SLC41A1	6.27194499182121	6.41715158840369	6.23816560397305	6.39181550476031	6.30713063050381	6.35240821397532
ENSG00000133069.17|TMCC2	1.6515229099123	1.87644239819652	1.74195824988352	1.9744708961854	1.7878793746059	1.83431785248297
ENSG00000133083.14|DCLK1	6.13433072699065	5.69821642226355	5.922821286192	5.64799286486224	6.08823068025915	5.61344996989507
ENSG00000133103.17|COG6	4.28563409812313	4.17668548238854	3.89110294919287	4.09191835955818	4.08417700669301	4.13849343793835
ENSG00000133104.14|SPART	6.32054508900891	6.01544756253007	6.02642939601816	6.14677706628705	6.13088929826599	6.12371025865611
ENSG00000133111.3|RFXAP	3.78626174317283	3.13366496149124	3.50199303470967	3.61313958863857	3.68382179669321	3.33370786731294
ENSG00000133112.16|TPT1	8.89074087418864	8.95695413656107	8.61848704898448	8.81859133898124	8.84188221089243	8.80050448846529
ENSG00000133114.17|GPALPP1	4.22069947857161	4.1214575380118	4.18559526880213	4.3792781837938	4.2368810852241	4.21663414936557
ENSG00000133119.13|RFC3	6.2089155200651	6.65502536488471	6.01947805795577	6.65467828419304	6.18286753133194	6.58618108221738
ENSG00000133121.21|STARD13	5.05488448626451	5.12895900540496	4.835766112612	5.03235252738788	4.8089095104252	5.21707155540948
ENSG00000133131.15|MORC4	2.21471775922279	1.59449018464975	2.2366049705436	1.65513574523711	2.21785764152485	1.63261668830177
ENSG00000133134.11|BEX2	1.08609727951626	1.15924501256427	0.646392205222599	0.786953843864477	0.53374061796138	1.30560355262242
ENSG00000133138.20|TBC1D8B	0.668434788579655	0.0661064231652488	-0.801595542812232	-0.442127984693139	-0.274404604102399	0.019813446222165
ENSG00000133142.17|TCEAL4	6.0282682632432	5.99115198153867	6.02444088478204	5.87388633347873	6.1076542069752	5.85121952454613
ENSG00000133169.6|BEX1	0.151677264562513	-0.320445972387571	-0.307644766684206	-0.264307053678168	-0.197791941965056	-0.172568322128661
ENSG00000133193.12|FAM104A	5.20848755657687	5.28189030733855	5.11080881670615	5.39647817813816	5.17736474219995	5.32146768717992
ENSG00000133195.11|SLC39A11	3.05530190259502	2.47909759453665	2.94679094827287	2.46480038003118	2.889529215749	2.58346619696886
ENSG00000133216.16|EPHB2	6.15926471554625	6.69699549199175	6.14121790960216	6.73118967077597	6.09138814946439	6.77294574449368
ENSG00000133226.17|SRRM1	7.41936268013276	7.61567105437337	7.53660467055388	7.57056937565127	7.52606911636977	7.54503477398587
ENSG00000133243.8|BTBD2	5.51207483351895	5.97550810064392	6.12589535304131	5.76512669464938	5.66557181430483	6.02373067662195
