	LMP_602_R1B1	LMP.Olap_602_R1B1	LMP_602_R2B2	LMP.Olap_602_R2B2
ENSG00000164002.11|EXO5	4.19683452918047	4.34039501881958	4.21755403223681	4.31967551576323
ENSG00000164008.16|C1orf50	3.47990113920567	3.526367030795	3.45026094206857	3.55600722793209
ENSG00000164010.15|ERMAP	3.7708172517976	3.48218838007315	3.52889952283095	3.72410610903979
ENSG00000164011.18|ZNF691	3.51843116806108	3.66699265203457	3.47635562489204	3.70906819520361
ENSG00000164022.16|AIMP1	5.96148803043207	5.98768961550949	5.91872311122368	6.03045453471787
ENSG00000164024.12|METAP1	5.83954606542177	5.83590742570008	5.80427166415735	5.87118182696449
ENSG00000164031.17|DNAJB14	5.74776166528151	5.81172526937884	5.70682945117769	5.85265748348265
ENSG00000164032.12|H2AFZ	8.61171304981932	8.7160479045368	8.5840438320998	8.74371712225631
ENSG00000164037.16|SLC9B1	0.0229819638836356	-1.11550182186115	-0.793774587657388	-0.298745270320131
ENSG00000164038.15|SLC9B2	3.92072267979969	4.08586484072913	4.04284583486155	3.96374168566727
ENSG00000164039.15|BDH2	5.31995558780153	4.96962222764711	5.14322803133508	5.14634978411356
ENSG00000164040.16|PGRMC2	5.76950432857065	5.83851014457502	5.75067269470086	5.85734177844481
ENSG00000164045.11|CDC25A	4.827435370227	5.22109829539962	4.8903738570746	5.15815980855202
ENSG00000164048.14|ZNF589	4.23397063559022	4.296895763016	4.29365042612227	4.23721597248395
ENSG00000164050.13|PLXNB1	7.18418712619591	7.03524738907578	7.2401837218167	6.97925079345499
ENSG00000164051.14|CCDC51	3.69984352019777	3.53786762153973	3.63757545594642	3.60013568579109
ENSG00000164053.21|ATRIP	4.27559569767839	4.35330694080498	4.12682685851867	4.5020757799647
ENSG00000164054.15|SHISA5	6.4664991127722	6.37280403141425	6.50550072912237	6.33380241506407
ENSG00000164056.11|SPRY1	7.7633178394077	7.71430881017863	7.73529792670034	7.74232872288599
