	Ctrl_602_R1B1	LMP_602_R1B1	Ola_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000134954.14|ETS1	6.84215595787272	6.84771595609819	6.9230004031486	6.81558407216123	6.8866945663705	6.83770578914574	6.88592623434504	6.81812979941946
ENSG00000134955.11|SLC37A2	-0.109241498849867	-0.669553757716595	-0.332131584046758	-0.335875993610038	-0.226873854033688	-0.442433378201355	-0.123416224502112	-0.654079377486102
ENSG00000134962.7|KLB	-0.671158555242582	-1.50326283964735	-1.46458586100122	-2.46467021823473	-1.64289291298229	-0.908394164495311	-1.41052641911211	-2.14186397753617
ENSG00000134970.14|TMED7	6.7217579497033	6.75153452354052	6.77965652858878	6.759086593254	6.86189988369336	6.64585813194078	6.76113228377882	6.74314529567363
ENSG00000134982.17|APC	7.47220266886329	7.57201225012849	7.6220783113855	7.52727384802198	7.61388699444261	7.50127965020451	7.51299412880255	7.56540630494961
ENSG00000134986.13|NREP	7.93021757777363	8.0002403641705	7.95377903033329	7.95957935026086	7.98941262171051	7.96456453884716	7.93495261869788	7.95488654328274
ENSG00000134987.11|WDR36	6.34327714588606	6.43356755940385	6.49492912416044	6.31275373762699	6.60774796251432	6.25343562793172	6.37424175264669	6.34910222398462
ENSG00000134996.11|OSTF1	0.794223552420475	0.84737356449509	0.410719165792603	1.0240897149864	0.966231797324987	0.741730842692674	0.880266817247821	0.488176540429082
ENSG00000135002.12|RFK	4.4409840803983	4.54004672389086	4.48517399893788	4.37318920405435	4.6048092075111	4.36178275726142	4.37981228047329	4.4929897620356
ENSG00000135018.14|UBQLN1	7.53597181117494	7.54800531805781	7.50014603748995	7.49915911476183	7.55347403629529	7.51297201174571	7.49853417609318	7.51830205735034
ENSG00000135040.15|NAA35	5.48301622447229	5.53625492477266	5.51703326048827	5.44084921670867	5.57346669044174	5.35308996627089	5.51220206323776	5.53839490649151
ENSG00000135045.7|C9orf40	3.74857984346335	3.65738998275642	3.7943262971537	4.15865663302713	4.01249578965871	3.84370848873293	3.61542525868077	3.88732321932821
ENSG00000135046.14|ANXA1	4.5952223370194	4.4113097455189	4.2642181007036	4.27289553486149	4.33675723679143	4.39492693694135	4.50636489354534	4.30559665082529
ENSG00000135047.15|CTSL	5.82553705185148	5.62299310204679	5.74052942016285	5.45561482038751	5.72483287158822	5.69746455134233	5.74737062034759	5.47500635117049
ENSG00000135048.14|CEMIP2	7.54393400874091	7.7126294466264	7.67400622197026	7.80347741272054	7.63883973761592	7.73968692850778	7.60551596229866	7.75000446163576
ENSG00000135049.15|AGTPBP1	4.41444341648565	4.30584654528094	4.58513977781161	4.4035901413704	4.54754202957498	4.4268885697596	4.32976230898305	4.40482697263098
ENSG00000135052.16|GOLM1	8.30766229765812	8.22252215620282	8.22700358957545	8.14816503185291	8.31411165978099	8.16218105156544	8.23026789319839	8.19879247074449
ENSG00000135063.19|FAM189A2	1.35262320721959	1.20468597699731	0.158373748563542	1.2298287463774	0.728651901305938	1.19157186403654	0.530118531144895	1.49516938267048
ENSG00000135069.14|PSAT1	7.00398949587415	6.95994036493439	6.97508943838077	6.94577667917054	7.05099464430793	6.87456793223389	7.01401834602499	6.94521505579303
ENSG00000135070.15|ISCA1	5.670652694824	5.69439618244673	5.63737973531391	5.62505335183105	5.66665100730728	5.58281473696377	5.70583669042848	5.67217952971617
ENSG00000135074.15|ADAM19	7.09172685388944	7.02267134257724	7.17153476702321	7.16409034665928	6.98944071039177	7.04235539433986	7.2317820598955	7.18644514552204
ENSG00000135083.15|CCNJL	3.82621250394866	4.13614784050532	4.08435190325168	4.0387474343856	4.0772100200282	4.03588148474335	3.98274080085322	3.98962737646649
ENSG00000135090.14|TAOK3	5.91860747072695	5.75277597328781	5.8429990601358	5.73592121644062	5.93686008056201	5.85859000049587	5.73161161650523	5.72324202302808
ENSG00000135093.13|USP30	3.36727332331515	3.78090615523949	3.67516391661609	3.53439760994306	3.53706465056068	3.6983524616306	3.54880972005876	3.57351417286376
ENSG00000135094.11|SDS	-0.282013043550141	-1.28517954112004	-1.87406825520093	-1.72870755122232	-0.99953554264813	-0.962299278752551	-1.14049029107526	-2.06764327861749
ENSG00000135097.7|MSI1	4.59701093833767	4.74738008819885	4.54319498264987	4.74312844656177	4.49186647736907	4.79945295562459	4.76103798835635	4.57835703439815
ENSG00000135108.14|FBXO21	5.92170994379834	5.90582922690359	5.81162261583051	5.87981462032137	5.88774610804043	5.88149110345729	5.8906075857563	5.85913160959977
ENSG00000135111.16|TBX3	1.20228902578771	1.51746171169521	1.45837964222253	0.780146392744112	1.31124858634506	1.25659752079554	1.27910723774677	1.1113234275622
ENSG00000135114.12|OASL	-0.739376279631025	-0.99894377130641	-2.71888505078477	-2.55472616567983	-1.35148273130746	-2.64068653964636	-2.41086213462441	-0.608899861823811
ENSG00000135116.9|HRK	1.91187561096821	1.79710796914917	1.95373177631172	1.5474308755076	2.38076994957947	1.68471147576619	1.59779990133111	1.54686490525993
ENSG00000135119.14|RNFT2	3.3612249231692	3.2797437569525	3.32198275651604	3.46927336969129	3.26098418077271	3.40522909228112	3.32771616529466	3.43829536798055
ENSG00000135124.14|P2RX4	3.23101700141654	3.64433366938031	3.26029199405174	3.42022114432522	3.23905594875709	3.58702116048044	3.43810784146113	3.29167885847515
ENSG00000135127.11|BICDL1	0.590502913885954	0.486204906922507	1.50095660135892	0.324095668323462	1.00455082907299	0.955112987416097	0.964939673871769	-0.0228433998700099
ENSG00000135144.7|DTX1	3.63275785557457	3.68158444736752	3.60042092264193	3.5125079780256	3.37218605919531	3.80767053535384	3.58395050503294	3.66346410402753
ENSG00000135148.12|TRAFD1	5.46790354971316	5.65807808004224	5.51588305228088	5.56723722121995	5.58857936520087	5.553524636613	5.44197120639696	5.62502669504541
ENSG00000135164.18|DMTF1	7.4068148908404	7.40776380524536	7.43394227188502	7.35571165673494	7.46896772641372	7.38382849565236	7.36021939620308	7.39121700643657
ENSG00000135185.12|TMEM243	3.16039136777619	3.58906522776686	3.24394164752749	3.45466478593671	3.45795941734904	3.29170949214904	3.27521707704965	3.42317704245952
ENSG00000135205.15|CCDC146	2.07906692845451	1.96715849280944	1.85554240112137	1.6953866588609	2.23254196038979	1.64537785378467	2.26098143750475	1.458253229567
ENSG00000135211.6|TMEM60	4.14421042905697	4.38869968675422	4.13280028625946	4.55963111777035	4.26589199561008	4.37918081338907	4.18696629339424	4.39330241744763
ENSG00000135241.17|PNPLA8	5.65729043012609	5.90498854532705	5.81969415073278	5.84097563281523	5.92842693112618	5.73638333835436	5.80882458541985	5.74931390410076
ENSG00000135245.10|HILPDA	3.73322537421534	3.70485643017713	3.51045422490125	3.74306918955845	3.89332817114863	3.67759429631486	3.26267826898238	3.8580044824063
ENSG00000135249.8|RINT1	4.65870999211712	4.9252164172786	4.78681808877957	4.61551494447915	4.62716732296939	4.71305209842799	4.71235555056179	4.93368447069528
ENSG00000135250.17|SRPK2	6.94724638775252	6.95764924589487	7.0530536114275	6.95797580128817	7.03392097577065	6.91645344327755	7.01248562863809	6.95306499867677
ENSG00000135253.13|KCP	-0.487485033666093	-1.16185372303246	-2.12920177071586	-0.0528042988381414	-0.729284539926724	-0.193583266205091	-1.95667766765552	-0.951799352465218
ENSG00000135297.15|MTO1	4.72975968229814	4.92886025675383	4.7658609326011	4.74263180008553	4.78256404299579	4.86647549851825	4.70518643031402	4.81288669991054
ENSG00000135298.14|ADGRB3	4.41834444695296	3.93210549429533	4.46528514593356	3.74811611110516	4.58339295936973	3.81515776474794	4.49638197817833	3.66891849599101
ENSG00000135299.17|ANKRD6	4.4280831576866	4.31668906792351	4.2738274378276	4.29026652726111	4.4938354031399	4.14951894214366	4.30551328457062	4.35999856084464
ENSG00000135314.12|KHDC1	0.957518027501839	1.42874043915535	1.40349525970248	1.10126840326994	1.54600221492701	1.24223710883397	1.1434592572261	0.959323548642525
ENSG00000135315.12|CEP162	3.65561901111927	3.39114120913814	3.76553637442753	3.68349317569494	3.76949559954418	3.56190196074335	3.59482475807977	3.5695674520126
ENSG00000135316.17|SYNCRIP	8.45624143609665	8.49576828643527	8.4652129015364	8.48544224832236	8.56915648561342	8.43021793065429	8.42022634059279	8.48306411553019
ENSG00000135317.13|SNX14	6.01316184464649	6.06600683059919	6.16420186634012	6.1307015250123	6.12980393608642	6.04634106168226	6.09799715236778	6.09992991646163
ENSG00000135318.12|NT5E	4.54767608752847	4.26284029471554	4.65450122378304	4.03947813142547	4.67871488071247	4.16414844275841	4.6037620361363	4.05787037784534
ENSG00000135324.6|MRAP2	3.33133805730441	3.59917548573922	3.52972544806386	3.39689038744181	3.5304689903573	3.46871781369076	3.50937090990685	3.34857166459438
ENSG00000135333.14|EPHA7	3.09876399449677	3.17296447704379	3.12963485160483	3.00854596232085	3.25023245172233	3.05973271211511	3.07050519257815	3.02943892905065
ENSG00000135334.9|AKIRIN2	6.66541642190125	6.59140861459494	6.67112129918834	6.64644503285311	6.6852204199696	6.66572026571624	6.69798367197227	6.52546701087953
ENSG00000135336.14|ORC3	5.66405800827326	5.64985376558633	5.60532582717594	5.8105434764124	5.67013431787178	5.61263627073525	5.64124948771378	5.80576100112712
ENSG00000135338.14|LCA5	3.09074832105842	2.91981353563411	2.995845865403	2.94058861263664	2.78245055963355	3.0749321901393	2.95367102497126	3.13594255998807
ENSG00000135341.18|MAP3K7	5.9936164406104	6.05668145746853	6.10895482419494	6.06861373488504	6.15272716939796	6.05511233922038	5.92238786610667	6.0976390824339
ENSG00000135362.14|PRR5L	4.14134530707934	3.95899329689099	4.06617987721154	4.0844907671226	4.03966024314057	3.95830097844674	4.14925373227686	4.10379429444029
ENSG00000135363.12|LMO2	1.04884693862859	1.60735443278791	1.21192624583844	1.72466399297714	1.64310075458699	1.8083940587909	0.947543072150764	1.19375372470344
ENSG00000135365.15|PHF21A	5.87610174044341	5.67702086139135	5.75489666284139	5.75234659853591	5.79345307862555	5.72442493346523	5.85197075699323	5.69051709412805
ENSG00000135372.9|NAT10	6.2709818071371	6.18573918108548	6.18573918108548	6.09636687239164	6.19722258578739	6.20070559908167	6.19409059558766	6.14680826124298
ENSG00000135373.12|EHF	-0.294234448018425	-3.55263789930522	-2.00694937068138	-0.537636367168265	-1.99015339807186	-1.15407480095029	-2.3138479037269	-0.933381982424241
ENSG00000135378.4|PRRG4	-0.632467029836718	-0.138826276928947	-1.46839297790405	-0.296328892532185	-0.981675771322509	-0.375302836011443	-1.48029530155177	0.301258731683824
ENSG00000135387.21|CAPRIN1	8.95996557172245	8.98820130801041	8.96421202261332	9.00106528560836	8.97389877510221	8.98522362838808	8.98042300936204	8.97389877510221
ENSG00000135390.19|ATP5MC2	7.39659284951308	7.22823125826935	7.07940729252568	7.20696077653209	7.20482404852483	7.20891226551954	7.22502216546081	7.27243369733501
ENSG00000135392.16|DNAJC14	5.48685123389901	5.34549093005346	5.45759676985397	5.29923109082552	5.4355362853971	5.47474577064159	5.33894114706422	5.33994682152905
ENSG00000135404.11|CD63	8.50481815044355	8.29672300874541	8.34118397912472	8.28606181229804	8.37211101373383	8.38070257545523	8.37898697680567	8.296986384617
ENSG00000135406.14|PRPH	0.320149560526253	1.17901176488353	0.7825557047554	0.889298790970956	0.655038850095375	1.00654004973214	0.698331893495136	0.811105027813491
ENSG00000135407.10|AVIL	2.25843637457765	2.10673125408325	2.58969589617901	1.95000209748512	2.06678863415939	2.12296606631451	2.23172944952149	2.48338147232963
ENSG00000135414.9|GDF11	7.14623569467779	7.16768216250516	7.0942910973009	7.21631012534615	7.16938720699033	7.20266853922856	7.08709260011061	7.16537073350051
ENSG00000135424.16|ITGA7	7.82930346603606	7.85026754501368	7.89656645762034	7.81333786445295	7.80417204381117	7.84281335028603	7.91892215431633	7.82356778470951
ENSG00000135436.8|FAM186B	-2.13404811144805	-0.757457644894382	-1.06035620727831	-1.34216902690684	-1.83635253931069	-1.72886357701243	0.432114093038198	-2.16092896724267
ENSG00000135437.9|RDH5	1.99770012560125	2.18767193229957	1.95111773247604	2.3976458172917	2.00778726333631	2.35977490234397	1.8388826614093	2.32769078057898
ENSG00000135439.11|AGAP2	4.54480572992721	4.34218546758164	4.50544822467599	4.24708325680191	4.38107136917102	4.45993276542029	4.44947399900013	4.3490445453953
ENSG00000135441.7|BLOC1S1	5.39460021920674	5.28923149222217	5.26476835640743	5.36503065114347	5.31508924422765	5.28324865999968	5.42857255901697	5.28672025573551
ENSG00000135446.17|CDK4	7.61352306328244	7.51510713213337	7.54751064081218	7.61431964040421	7.52519848924097	7.53823775940606	7.58143812997316	7.64558609801201
ENSG00000135451.13|TROAP	5.88256101857146	6.22711442726883	5.87885466834916	6.30255319931348	5.76815628358733	6.28357382834609	6.10265418004215	6.13669902152738
ENSG00000135452.10|TSPAN31	4.49302749043285	4.5688199048135	4.63118085632517	4.33513229514421	4.65523903031295	4.54984100812452	4.55688543524229	4.26619507303596
ENSG00000135454.14|B4GALNT1	6.64211191228173	6.78817152762305	6.74380168641558	7.03917538009136	6.62867164298058	6.86593215237201	6.74699859323058	6.97165811782855
ENSG00000135457.9|TFCP2	5.61399333395799	5.42733791845026	5.55775315406307	5.50293773804677	5.55451589240871	5.52996507948345	5.62118921702182	5.39635195560411
ENSG00000135469.13|COQ10A	3.50649680170525	3.7331650163774	3.53008939578984	3.67703588011564	3.60601118759136	3.73378379041456	3.58612177793598	3.52087033804624
ENSG00000135472.9|FAIM2	2.13088721724573	1.75402615264469	2.06128532796494	2.07804527968383	2.03794272513756	1.68376646317445	2.21949298719784	2.08304180202935
ENSG00000135473.15|PAN2	6.98803506884349	6.99581597757333	6.9483620993572	6.91209762153051	7.00030370324174	6.90947863307212	7.01750266359049	6.91702576740017
ENSG00000135476.11|ESPL1	6.11457928168823	6.36856642536712	6.18777964883578	6.55272357195238	5.87697073339713	6.51067708817412	6.24450935843708	6.59149174783519
ENSG00000135480.16|KRT7	-0.222381143328066	0.357636439709141	0.152072329197446	1.36683878170359	0.397184108656063	0.135360603536549	0.44327853964912	0.678343155440379
ENSG00000135482.7|ZC3H10	3.93143014933767	3.63098007116049	3.74244381116313	3.3383304441594	3.78644172550963	3.7636038888688	3.5409654442497	3.55217341719257
ENSG00000135486.17|HNRNPA1	10.4777203768756	10.4622371624965	10.5100232162844	10.4304668879452	10.5249236783656	10.4860934642106	10.3833370368148	10.4860934642106
