	Ctrl_602_R1B1	LMP_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2
ENSG00000166188.2|ZNF319	4.04621786428593	4.19969132908335	4.04624303239455	4.19966616097473
ENSG00000166189.7|HPS6	3.78017189117339	3.80830202072058	3.58300012436164	4.00547378753233
ENSG00000166192.15|SENP8	2.86606428393927	2.56857882407652	2.73758866034136	2.69705444767444
ENSG00000166197.16|NOLC1	7.02710749327792	7.02044865478304	6.98853796095705	7.05901818710391
ENSG00000166199.13|ALKBH3	4.32585707413716	4.21184747111701	4.43792686719029	4.09977767806388
ENSG00000166200.15|COPS2	5.94183540861313	5.94187515265916	5.986397174371	5.89731338690129
ENSG00000166225.8|FRS2	4.74768307708432	4.73290205970529	4.91627170133223	4.56431343545737
ENSG00000166226.13|CCT2	7.55816183781114	7.5783130457578	7.63301681651981	7.50345806704913
ENSG00000166233.15|ARIH1	6.91967808077905	6.86044304467211	6.94154003296499	6.83858109248617
ENSG00000166250.12|CLMP	-0.900070539656873	-0.557579680122145	-0.794081792188326	-0.663568427590692
ENSG00000166257.8|SCN3B	0.68570475656911	0.686733783687168	0.431111774024464	0.941326766231815
ENSG00000166260.11|COX11	5.32345784450623	5.33964751021545	5.4913847829529	5.17172057176878
ENSG00000166261.11|ZNF202	4.7989043054371	4.5690718685452	4.74153204220936	4.62644413177294
ENSG00000166262.15|FAM227B	1.05241987281913	0.778741438543042	1.18784732495408	0.643313986408093
ENSG00000166263.13|STXBP4	4.01661923701017	4.23118530232288	4.14339799228189	4.10440654705116
ENSG00000166266.14|CUL5	6.12675515465017	6.29584712685435	6.2728355019123	6.14976677959222
ENSG00000166272.18|WBP1L	5.11941677680731	5.10741440586253	5.09541287318592	5.13141830948391
ENSG00000166275.15|BORCS7	4.07947732586534	3.99526351281414	4.11179187543974	3.96294896323974
ENSG00000166278.15|C2	0.455039172752013	-0.301482584821106	0.0739055475077388	0.0796510404231685
ENSG00000166289.6|PLEKHF1	1.52903723710263	1.14506062923669	1.4729890558859	1.20110881045341
ENSG00000166292.12|TMEM100	4.51415953206749	4.60324038263645	4.59172517095566	4.52567474374828
ENSG00000166295.9|ANAPC16	5.63252218597869	5.69206665466959	5.73914473276628	5.585444107882
ENSG00000166311.10|SMPD1	5.32391470711439	5.17419895244804	5.21426316332892	5.2838504962335
ENSG00000166313.19|APBB1	6.46514693806496	6.42783826433606	6.3483267726815	6.54465842971952
ENSG00000166317.12|SYNPO2L	4.93444115274319	4.71870624214184	4.86341467087479	4.78973272401023
ENSG00000166321.14|NUDT13	-0.332411024252181	0.842952327510828	0.469692399628504	0.0408489036301424
ENSG00000166326.7|TRIM44	7.54049841513859	7.42501087009622	7.54577582750294	7.41973345773186
ENSG00000166333.13|ILK	6.68359555024979	6.61524730271464	6.63203899202194	6.66680386094249
ENSG00000166337.10|TAF10	5.69763306406268	5.71701489817228	5.74426184713204	5.67038611510292
ENSG00000166340.17|TPP1	7.71801382709153	7.69778457372576	7.71112331261385	7.70467508820344
ENSG00000166341.8|DCHS1	7.73474959322721	7.81599704943604	7.65246481413303	7.89828182853022
ENSG00000166342.19|NETO1	3.63547369917237	3.36435908703954	3.72029520685178	3.27953757936013
ENSG00000166343.10|MSS51	1.38099844764055	1.15274925331262	1.33212346048099	1.20162424047218
ENSG00000166347.19|CYB5A	5.11206486496032	4.94589761329012	5.06148984006684	4.9964726381836
ENSG00000166348.18|USP54	6.93431929207513	6.95295285632378	6.94315017616917	6.94412197222974
ENSG00000166349.9|RAG1	0.470418848432132	1.67703848147623	1.21093363409385	0.936523695814511
ENSG00000166352.16|C11orf74	4.05773365632223	3.89167130252351	4.1192576712889	3.83014728755684
ENSG00000166377.20|ATP9B	5.39506432406865	5.32944302527245	5.42861034359253	5.29589700574857
ENSG00000166387.13|PPFIBP2	6.16500914569758	6.00378629076392	6.15362029252307	6.01517514393842
ENSG00000166394.15|CYB5R2	-0.573799747458405	-0.41881666892152	-0.738989024838392	-0.253627391541533
ENSG00000166398.12|KIAA0355	5.01499620869953	5.26567882950812	5.17081978267726	5.10985525553039
ENSG00000166401.14|SERPINB8	2.26219685286163	2.27386282595747	2.16855938439605	2.36750029442305
ENSG00000166402.8|TUB	4.16677427230239	4.46814976622125	4.34026520914659	4.29465882937705
ENSG00000166405.15|RIC3	3.99559381785543	3.64400563723556	3.80720529378922	3.83239416130177
ENSG00000166407.14|LMO1	0.709003263812354	0.517555515466123	0.524070479370208	0.70248829990827
ENSG00000166411.14|IDH3A	6.36085287905095	6.35896331902588	6.31256732223723	6.40724887583959
ENSG00000166428.13|PLD4	-0.519135263547537	0.333948377502685	-0.223233211926908	0.0380463258820556
ENSG00000166432.15|ZMAT1	4.49545130978407	4.53267528022822	4.58498376370567	4.44314282630662
ENSG00000166435.15|XRRA1	3.33305692870569	2.78310621893773	3.20242308901821	2.91374005862521
ENSG00000166436.16|TRIM66	3.88915851922258	3.92893498202196	3.88166429622468	3.93642920501985
ENSG00000166439.6|RNF169	5.58049644110905	5.74372009992369	5.67492044755727	5.64929609347546
ENSG00000166441.13|RPL27A	8.42275175859898	8.35826930475488	8.38235904243328	8.39866202092059
ENSG00000166444.19|ST5	5.70832836775322	5.66617878105012	5.57337205342146	5.80113509538189
ENSG00000166446.15|CDYL2	1.02299330002059	1.11349789006423	1.11927248845127	1.01721870163355
ENSG00000166450.13|PRTG	3.00105294954699	3.37283728407512	3.23155261619506	3.14233761742705
ENSG00000166451.13|CENPN	5.43880707651887	5.57564219083469	5.53528686182021	5.47916240553334
ENSG00000166452.11|AKIP1	4.00114824917239	3.88499384632449	3.96215286540185	3.92398923009503
