	Ctrl_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP.Olap_602_R2B2
ENSG00000003402.20|CFLAR	6.41556426782556	6.47066160703279	6.38934240392223	6.49688347093612
ENSG00000003436.16|TFPI	6.1964684298023	5.87959477106159	6.20076308223334	5.87530011863055
ENSG00000003509.16|NDUFAF7	4.50644139098947	4.59967419874673	4.52399141712435	4.58212417261185
ENSG00000003756.16|RBM5	7.50656707541334	7.46415971825531	7.47374860001346	7.49697819365519
ENSG00000003987.14|MTMR7	0.747436101201534	0.593345389680111	0.604972160975471	0.735809329906174
ENSG00000003989.17|SLC7A2	3.12418107520798	3.35465524111269	3.30654897190143	3.17228734441924
ENSG00000004059.11|ARF5	5.95890499605167	5.92912680841879	5.92945074078453	5.95858106368593
ENSG00000004139.14|SARM1	6.35379744600326	6.38083041734511	6.3382783188144	6.39634954453396
ENSG00000004142.12|POLDIP2	7.25391598009578	7.23361201021005	7.21719284841634	7.27033514188947
ENSG00000004399.12|PLXND1	5.36698199546088	5.41094364748342	5.28893188674785	5.48899375619645
ENSG00000004455.16|AK2	6.95063865214255	6.94413253540267	6.96065611795733	6.9341150695879
ENSG00000004478.8|FKBP4	6.99247236289758	7.13051756572918	6.94858505442689	7.17440487419986
ENSG00000004487.16|KDM1A	7.74024684972999	7.65841228926866	7.67316535146882	7.72549378752983
ENSG00000004534.15|RBM6	7.00271823207222	6.83269515612256	7.01627624431768	6.8191371438771
ENSG00000004660.14|CAMKK1	2.16004416477569	2.23244412389603	2.42146584382557	1.97102244484615
ENSG00000004700.16|RECQL	5.85403419374482	6.26559491337764	6.03883938383011	6.08078972329235
ENSG00000004766.17|VPS50	5.2907484412121	5.23819123680759	5.39193759382995	5.13700208418973
ENSG00000004777.18|ARHGAP33	5.81691211073676	6.06475516884449	5.69545767081457	6.18620960876668
ENSG00000004779.10|NDUFAB1	4.8571905954307	4.75354088159839	4.94878727908703	4.66194419794207
ENSG00000004799.8|PDK4	-0.445703611228325	-0.73369013487966	-1.04766181767897	-0.13173192842901
ENSG00000004838.14|ZMYND10	1.35602740741098	1.35465144480664	1.34322702324714	1.36745182897048
ENSG00000004864.13|SLC25A13	5.49852224655458	5.3949418869587	5.59576033433267	5.29770379918061
ENSG00000004866.20|ST7	4.93194115600649	4.8073224152813	4.91474357952249	4.82451999176529
ENSG00000004897.12|CDC27	6.65051742518914	6.8837845546539	6.79066170015731	6.74364027968572
ENSG00000004961.15|HCCS	4.99687851124839	5.14697951091194	5.03667061400789	5.10718740815244
ENSG00000004975.12|DVL2	6.38940512150429	6.40588047900201	6.31357299941429	6.48171260109202
ENSG00000005007.12|UPF1	7.12309863340076	7.21137287900103	7.07444985704396	7.26002165535783
ENSG00000005020.13|SKAP2	4.24088565987776	4.06890099196846	4.25574171901393	4.05404493283229
ENSG00000005022.6|SLC25A5	7.88093782530671	7.81527952463275	7.79399288092952	7.90222446900993
ENSG00000005059.16|MCUB	3.84294296342409	4.23278670683313	3.94710161907501	4.1286280511822
ENSG00000005073.5|HOXA11	1.8682923156771	1.66949242353828	1.42103018031245	2.11675455890294
ENSG00000005075.15|POLR2J	6.19571361967817	5.93444494990779	6.08317473864902	6.04698383093694
ENSG00000005100.13|DHX33	6.20414357866877	6.07495008787282	6.21533677013644	6.06375689640516
ENSG00000005156.11|LIG3	5.47538186920873	5.40283603057574	5.57196069003595	5.30625720974851
ENSG00000005175.10|RPAP3	4.79510596349979	4.94785691537248	4.90842816426162	4.83453471461066
ENSG00000005189.19|REXO5	2.67204504149075	3.17932824744255	2.3426387683077	3.50873452062561
ENSG00000005194.15|CIAPIN1	6.43392096342768	6.32606501165607	6.36268545429736	6.39730052078639
ENSG00000005206.17|SPPL2B	6.57101092136836	6.81106552413003	6.61012359550267	6.77195284999572
ENSG00000005238.19|FAM214B	4.70452258874259	4.62394308608191	4.65274143400817	4.67572424081632
ENSG00000005249.13|PRKAR2B	2.73077259646597	3.12530387521837	2.95155437074626	2.90452210093807
ENSG00000005302.18|MSL3	6.00023898316515	6.09514547454172	5.99152213634861	6.10386232135826
ENSG00000005339.14|CREBBP	6.52275524656623	6.53501739039217	6.53897688057226	6.51879575638614
ENSG00000005379.17|TSPOAP1	2.20030495819053	2.38049329489643	2.34107901615307	2.23971923693389
ENSG00000005436.13|GCFC2	5.15487840781418	5.25639272305904	5.17316542193112	5.2381057089421
ENSG00000005448.16|WDR54	4.72550606688217	4.92417998402421	4.73358379378212	4.91610225712426
ENSG00000005469.11|CROT	4.3454348513955	4.35605162774182	4.35901771068928	4.34246876844804
ENSG00000005483.20|KMT2E	7.13673189753898	7.12818167107479	7.21747841964787	7.0474351489659
ENSG00000005486.17|RHBDD2	6.20876799667865	6.10381720543964	6.11100569976802	6.20157950235028
ENSG00000005513.10|SOX8	5.08271327854133	5.10625065653458	5.19374068176917	4.99522325330673
ENSG00000005700.15|IBTK	6.00107200695569	5.99323043172231	6.04387256220566	5.95042987647234
ENSG00000005801.18|ZNF195	5.80272678559237	5.72575910981613	5.78339841522194	5.74508748018655
ENSG00000005810.18|MYCBP2	5.40957493256549	5.28491212818079	5.49426865739453	5.20021840335174
ENSG00000005812.11|FBXL3	4.78069715813982	4.86374136484105	4.81102155984005	4.83341696314082
ENSG00000005882.11|PDK2	4.50597259039257	4.660775783176	4.34895633194967	4.81779204161889
ENSG00000005884.18|ITGA3	4.31896348680904	4.37330689709199	4.45699965026161	4.23527073363942
ENSG00000005889.15|ZFX	5.53641414740237	5.36706297676044	5.57872091166178	5.32475621250103
