Ctrl_417_R1B1	LMP_417_R1B1	Ctrl_417_R2B2	LMP_417_R2B2	Ctrl_417_R3B2	LMP_417_R3B2
ENSG00000011028.14|AC080038.1	499	501	394.66	372	606	772.82
ENSG00000011052.21|NME1-NME2	257.1	372.1	247.37	299.05	53.25	302.49
ENSG00000011105.14|TSPAN9	933	801	895	772	1235	1190
ENSG00000011114.15|BTBD7	1280	1104	1115	1006	1165	928
ENSG00000011132.12|APBA3	275.7	316	202.79	236	208	232
ENSG00000011143.16|MKS1	459	465	333	362	375	322
ENSG00000011198.9|ABHD5	1037	767	698	712	1267	1076
ENSG00000011243.18|AKAP8L	2158.32	2131.48	1910.97	1603.2	1776.38	1724.65
ENSG00000011258.16|MBTD1	629	541	563	502	474	374
ENSG00000011260.14|UTP18	1232	940	801	850	1095	937
ENSG00000011275.18|RNF216	3037.31	2666.86	2413.73	2128.6	2057.3	1853.3
ENSG00000011295.16|TTC19	2199.79	1643	1659.49	1583	2172.69	1964.96
ENSG00000011304.20|PTBP1	4919	4269	4392	4074	3741	4186
ENSG00000011332.19|DPF1	353	270	280	271	273	296
ENSG00000011347.9|SYT7	43	57	36	44	50	71
ENSG00000011376.11|LARS2	999	878	800	740	1059	910
ENSG00000011405.13|PIK3C2A	2283	2006	2537	2384	1867	1538
ENSG00000011422.12|PLAUR	29	26	15	21	18	17
ENSG00000011426.11|ANLN	2564	2174	2821	2969	4413	4578
ENSG00000011451.19|WIZ	1742	1927	1484	1395	1035	1366
ENSG00000011454.17|RABGAP1	3297	2885	2839	2549	2882	2376
ENSG00000011478.12|QPCTL	136	113	124	93	89	119
ENSG00000011485.14|PPP5C	1178	1137	972	1029	1016.56	1101
ENSG00000011523.14|CEP68	1053.26	948.67	871	944.01	812	791.13
ENSG00000011566.15|MAP4K3	1827	1416	1564	1262	1606	1231
ENSG00000011638.10|TMEM159	285	271	199	229	254	216
ENSG00000012048.22|BRCA1	1133	932	1093	1182	1647	1559
ENSG00000012061.15|ERCC1	1616.76	1368.4	1426.74	1083.23	1001.8	1013.64
ENSG00000012171.19|SEMA3B	209	276	183	164	72	115
ENSG00000012174.12|MBTPS2	1142.64	955.35	995.18	856.42	916.84	823.43
ENSG00000012232.8|EXTL3	6370	5261.49	5846	4562.33	3968	3381
ENSG00000012660.14|ELOVL5	4759	3779	4150	4134	5015	4463
ENSG00000012817.15|KDM5D	1782	1585	1440	1213	1136	930
ENSG00000012822.16|CALCOCO1	2216	2281	1709	1427	1700	1136
ENSG00000012963.15|UBR7	2924	2544	2628.85	2545	3141.99	2859.59
ENSG00000012983.11|MAP4K5	1168	1054	1078	1025	1236	1057
ENSG00000013016.16|EHD3	432	370	333	265	210	180
ENSG00000013275.7|PSMC4	1674	1479	1304	1142	1426	1410
ENSG00000013288.8|MAN2B2	555	531	560	505	417	411
ENSG00000013293.6|SLC7A14	69	21	45	47	42	11
ENSG00000013297.11|CLDN11	44	21	38	27	40	23
ENSG00000013306.16|SLC25A39	1829	1852	1294	1154	1291	1590
ENSG00000013364.19|MVP	1870.82	1647.68	1768.7	1365	1591	1606.43
ENSG00000013374.16|NUB1	1056	940.91	767.93	647.98	966.98	829.94
ENSG00000013375.16|PGM3	1200.77	1082.62	1114.64	1126.57	1304	1172.21
ENSG00000013392.8|RWDD2A	178	183	138	155	255	195
ENSG00000013441.16|CLK1	1653	1502	1761	1872	1704	1282
ENSG00000013503.10|POLR3B	309	279	214	242	280	250
ENSG00000013523.9|ANGEL1	1511.39	1424.52	1050.43	966.28	826.54	639.64
ENSG00000013561.18|RNF14	1226	976	899	899	1086	993
ENSG00000013563.14|DNASE1L1	220.8	297.19	224.87	233.94	311.91	352.25
ENSG00000013573.17|DDX11	1389.93	1268.15	1205.72	1222.26	1332.31	1444.37
ENSG00000013588.8|GPRC5A	237	258	213	173	334	367
ENSG00000013619.14|MAMLD1	547	447	447	385	658	645
ENSG00000013810.19|TACC3	3661	3688	3841	4326.61	4444	5498
ENSG00000014123.10|UFL1	303	291	291	272	263	198
ENSG00000014138.9|POLA2	1167.73	969.89	939.94	1040.3	1230.89	1269.11
ENSG00000014164.7|ZC3H3	281	314	259	233	191	288
ENSG00000014216.15|CAPN1	2563	2658.74	2066.76	1892	2140	2477
ENSG00000014257.16|ACPP	94	76	69	56	239	250
ENSG00000014641.18|MDH1	3400.77	2853.66	2512	2818.73	3836	3518.38
ENSG00000014824.14|SLC30A9	3127	2504	2456	2202	2508	2090
ENSG00000014914.21|MTMR11	1730	1752	1563	1713	1847	1602
ENSG00000014919.12|COX15	1144.49	980.62	881.17	951.84	1195.77	1070.72
ENSG00000015133.19|CCDC88C	303	276	263	249	69	95
ENSG00000015153.14|YAF2	172	138	144	122	118	100
ENSG00000015171.19|ZMYND11	3058	2412	2206	2052	2206	1754
ENSG00000015285.10|WAS	35	39	24	37	23	23
ENSG00000015475.18|BID	215	188	161	158	261	325
ENSG00000015479.18|MATR3	14330.47	12268.69	10878.42	10221.44	11405.06	9361.5
ENSG00000015532.9|XYLT2	535	578	523	424	350	440
ENSG00000015568.13|RGPD5	182.77	162.86	127.53	209.9	188.54	244.76
ENSG00000015592.16|STMN4	18	30	17	10	3	1
ENSG00000015676.18|NUDCD3	2389	2135	2336	2102	2178	1981
ENSG00000016391.11|CHDH	62.62	72	40	39	50	61
ENSG00000016864.18|GLT8D1	966	794	751	624	907	741
ENSG00000017260.19|ATP2C1	2313.03	2022.07	1959.27	1825.85	3046.32	2726.05
ENSG00000017427.16|IGF1	21.81	14.93	15.86	14.88	30.84	16.77
ENSG00000017483.15|SLC38A5	48	25	19	28	173	222
ENSG00000017797.13|RALBP1	1716	1423	1482	1450	1842	1775
