Ctrl_827_R1B1	LMP_827_R1B1	Ctrl_827_R2B1	LMP_827_R2B1	Ctrl_827_R3B2	LMP_827_R3B2
ENSG00000030066.13|NUP160	1644	1156	1329	1218	1825	1532
ENSG00000030110.13|BAK1	379	363	375	367	480	508
ENSG00000030582.18|GRN	2065	2008	1844	2136	2382	2975
ENSG00000031003.10|FAM13B	867	679	862	814	1064.99	1007
ENSG00000031081.10|ARHGAP31	1220	862	730	828	1139	1021
ENSG00000031691.7|CENPQ	232	172	196	179	308	255
ENSG00000031698.13|SARS	3148	2432	7614	5306	3451	3686
ENSG00000031823.14|RANBP3	2303	1924	1699	1761	2625	2596
ENSG00000032219.18|ARID4A	836	701	717	835	889	1022
ENSG00000032389.12|EIPR1	357	289	264	264	417	375
ENSG00000032444.16|PNPLA6	2420.15	2491	1655	2024	2768	3396
ENSG00000032742.17|IFT88	265	189	289	249	306	286
ENSG00000033011.12|ALG1	502.58	441.79	302.33	404.61	542.45	586.21
ENSG00000033030.13|ZCCHC8	527	405	620	602	556	513
ENSG00000033050.9|ABCF2	1825.3	1617.49	1009.71	1453.73	1974.11	2157.76
ENSG00000033100.16|CHPF2	2160	2040	2144	1972.83	2486.93	2831
ENSG00000033170.16|FUT8	765	549	428	558.74	763.81	733.44
ENSG00000033178.13|UBA6	1814	1412	1843	1833	1826	1857
ENSG00000033327.13|GAB2	893	674	1045	875	1021	886
ENSG00000033627.16|ATP6V0A1	1611	1392	1753	1488	1532	1537
