Ctrl_417_R1B1	LMP.Olap_417_R1B1	Ctrl_417_R2B2	LMP.Olap_417_R2B2	Ctrl_417_R3B2	LMP.Olap_417_R3B2
ENSG00000023839.11|ABCC2	12	8	7	9	12	11
ENSG00000023892.11|DEF6	17	16	17	14	9	17
ENSG00000023902.14|PLEKHO1	431	525	484	488	654	767
ENSG00000023909.10|GCLM	529	586	394	365	666	674
ENSG00000024048.10|UBR2	1597	1498	1249	1095	1529	1113
ENSG00000024526.17|DEPDC1	899.72	858.76	964.66	869.61	1174.32	1132.65
ENSG00000024862.17|CCDC28A	159.84	157	112	72.49	190	138
ENSG00000025039.14|RRAGD	3054	3335	2778	2848	3930	3580
ENSG00000025156.12|HSF2	498	436	414	374	505	373
ENSG00000025293.17|PHF20	1513	1489	1302	1107	1276	946
ENSG00000025423.11|HSD17B6	17	24	30	27	4	7
ENSG00000025434.19|NR1H3	433.41	450.01	346	257	234	231
ENSG00000025708.14|TYMP	26.17	33	22	16	25	19
ENSG00000025770.19|NCAPH2	2067.31	2070.67	1592.12	1573.79	1392.59	1612.81
ENSG00000025772.8|TOMM34	1606	1483	1288	1078	2064	1891
ENSG00000025796.14|SEC63	3031.78	2800.6	2526.58	2233.52	2740.52	2306.4
ENSG00000025800.14|KPNA6	1681.73	1646	1376	1147.23	1498	1237.98
ENSG00000026025.16|VIM	32	24	36	26	22	20
ENSG00000026036.22|RTEL1-TNFRSF6B	411.62	409.92	280.14	338.12	225.97	284.11
ENSG00000026103.22|FAS	269.94	261.14	233.32	217.45	221.98	191.14
ENSG00000026297.15|RNASET2	720.09	774	507	406.34	2251	1436.48
ENSG00000026508.18|CD44	10900	11094	8802	8096	10448	8968
ENSG00000026652.14|AGPAT4	561	512	480	386	392	274
ENSG00000026950.17|BTN3A1	1250.49	1095.06	943.75	836.4	847.44	557.61
ENSG00000027001.10|MIPEP	283	230	201	166	353	286
ENSG00000027644.5|INSRR	311	409	277	323.87	160	135
ENSG00000027697.14|IFNGR1	1136	956	886	685	817	595
ENSG00000027847.14|B4GALT7	328	290	265	228	198	234
ENSG00000028203.18|VEZT	1517	1391	1140	997	1609	1314
ENSG00000028310.18|BRD9	1039.76	1076.87	792.79	631.57	820.98	718.27
ENSG00000028528.15|SNX1	4196	3909	3549	3097	4439	3376
ENSG00000028839.10|TBPL1	321.3	296.47	279.68	270.27	474.34	418.18
ENSG00000029153.14|ARNTL2	774	653	546	597	900	804
ENSG00000029363.16|BCLAF1	4889.94	4765.08	4185.41	3471.25	4178.68	3630.53
ENSG00000029364.12|SLC39A9	2971	2800	2239	2029	2566	2105
ENSG00000029534.20|ANK1	491.07	525	481.43	440	338	376
ENSG00000029639.11|TFB1M	191.49	130.31	142.16	130.55	245.55	165.41
ENSG00000029725.17|RABEP1	3344.92	3053.22	2612.79	2131.71	2871.61	2281.04
ENSG00000029993.15|HMGB3	2923	2808	2512	2217	2489	2130
ENSG00000030066.13|NUP160	1503	1463	1206	1160	1664	1383
ENSG00000030110.13|BAK1	797.99	759	530.99	519.98	667	780
ENSG00000030582.18|GRN	10967	13122	8392	7560	11396	15355
ENSG00000031003.10|FAM13B	1364	1282	1029	969	1272.97	971
ENSG00000031081.10|ARHGAP31	802	857	644	575	948	866
ENSG00000031691.7|CENPQ	274	246	263	250	319	265
ENSG00000031698.13|SARS	3791	3512	2804	2246	3489	2970
ENSG00000031823.14|RANBP3	1858	1841	1524	1401	1326	1409
ENSG00000032219.18|ARID4A	934	912	923	805	854	684
ENSG00000032389.12|EIPR1	634	604	453	346	511	434
ENSG00000032444.16|PNPLA6	1451	1657	1017	894	1041	1390
ENSG00000032742.17|IFT88	346	283	210	185	239	170
ENSG00000033011.12|ALG1	685.73	661.3	489.05	387.26	448.34	387.87
ENSG00000033030.13|ZCCHC8	721	730	643	535	616	558
ENSG00000033050.9|ABCF2	984.23	968.17	710.93	513.45	921.28	964.59
ENSG00000033100.16|CHPF2	1506.77	1450	1384.64	1017	1285	1513.8
ENSG00000033170.16|FUT8	986.97	900	828.86	726	834.68	690
