Ola_417_R1B1	LMP.Olap_417_R1B1	Ola_417_R2B2	LMP.Olap_417_R2B2	Ola_417_R3B2	LMP.Olap_417_R3B2
ENSG00000012171.19|SEMA3B	193	283	176	212	147	125
ENSG00000012174.12|MBTPS2	952.12	1110.64	994.94	715	864.37	670.32
ENSG00000012232.8|EXTL3	5401	5867	6435.34	4159	4279	3252
ENSG00000012660.14|ELOVL5	3756	4179	4449	3463	4683	4161
ENSG00000012817.15|KDM5D	1339	1624	1577	1196	1107	896
ENSG00000012822.16|CALCOCO1	1668	2157	1691	1425	1526	968
ENSG00000012963.15|UBR7	2222.38	2807	2769	2200	2876	2766.98
ENSG00000012983.11|MAP4K5	876	1095	1098	864	1160	1006
ENSG00000013016.16|EHD3	339	397	378	208	234	176
ENSG00000013275.7|PSMC4	1285	1658	1348	1156	1451	1404
ENSG00000013288.8|MAN2B2	441	600	635	498	534	381
ENSG00000013293.6|SLC7A14	35	40	43	20	33	8
ENSG00000013297.11|CLDN11	27	32	32.09	25.53	31	26
ENSG00000013306.16|SLC25A39	1459	1909	1477	1078	1701	1571
ENSG00000013364.19|MVP	1613.91	1910.14	1771.31	1210.63	2011.15	1609.26
ENSG00000013374.16|NUB1	775	936.95	785.98	633.91	869.83	725.97
ENSG00000013375.16|PGM3	839.24	1181.06	1140.08	1013.25	1191.87	1048.89
ENSG00000013392.8|RWDD2A	183	187	146	134	219	231
ENSG00000013441.16|CLK1	1177	1491	1796	1585	1445	1153
ENSG00000013503.10|POLR3B	208	277	279	214	268	262
ENSG00000013523.9|ANGEL1	1044.08	1392.26	1209.45	947.54	766.03	624.17
ENSG00000013561.18|RNF14	891.96	1049	991	884	982	930
ENSG00000013563.14|DNASE1L1	196.04	267.15	221.29	283.05	374.3	375.76
ENSG00000013573.17|DDX11	1026.47	1470.23	1272.12	1158.22	1488	1422.23
ENSG00000013588.8|GPRC5A	211	291	152	317	363	406
ENSG00000013619.14|MAMLD1	416	527	454	390	776	693
ENSG00000013810.19|TACC3	3003.68	4559	4242.04	4223.05	5104	5975
ENSG00000014123.10|UFL1	246	298	288	232	223	164
ENSG00000014138.9|POLA2	787.71	1201.74	913.28	1064.56	1233.54	1317.97
ENSG00000014164.7|ZC3H3	257	280	259	232	285	280
ENSG00000014216.15|CAPN1	2191.46	2971	2311.59	1849	2715	2601.01
ENSG00000014257.16|ACPP	65	102	87	72	235	252
ENSG00000014641.18|MDH1	2619	3356.58	3153.25	2641	3382	3247.7
ENSG00000014824.14|SLC30A9	2453	2714	2602	2004	2306	1725
ENSG00000014914.21|MTMR11	1271	1778	1687	1452	1727	1513
ENSG00000014919.12|COX15	1022.07	1113	1055.47	812.39	1178.02	1014.1
ENSG00000015133.19|CCDC88C	254	395	261	266	95	84
ENSG00000015153.14|YAF2	119	165	150	103	131	87
ENSG00000015171.19|ZMYND11	2201	2608	2488	1715	2057	1443
ENSG00000015285.10|WAS	31	56	47	34	19	17
ENSG00000015475.18|BID	177	202	161	140	277	269
ENSG00000015479.18|MATR3	10888	13106.27	11805.1	8831.72	10315.84	8206.61
ENSG00000015532.9|XYLT2	453	626	474	454	497	522
ENSG00000015568.13|RGPD5	194.52	230.21	9.03	77.6	391.37	141.87
ENSG00000015592.16|STMN4	16	22	11	6	3	1
ENSG00000015676.18|NUDCD3	1851	2488	2408	1883	2252	1909
ENSG00000016391.11|CHDH	48	65.98	31	34	57	52
ENSG00000016864.18|GLT8D1	710	840	714	552.03	851	695
ENSG00000017260.19|ATP2C1	1901.91	2196.41	2161.79	1809.91	2854.06	2478.44
ENSG00000017427.16|IGF1	23.87	23.89	8.81	8.89	34.83	17.88
ENSG00000017483.15|SLC38A5	24	28	35	16	200	249
ENSG00000017797.13|RALBP1	1205	1501	1646	1321	1916.08	1674
ENSG00000018189.13|RUFY3	931	984	978	753	940	699
ENSG00000018236.15|CNTN1	46	79	28	47	2155	1947
ENSG00000018280.17|SLC11A1	13	15	12	10	5	6
ENSG00000018408.14|WWTR1	155.17	205.18	152.07	164.15	364.08	316.56
ENSG00000018510.15|AGPS	1201.66	1493	1440.71	1040.65	1702	1452
ENSG00000018610.14|CXorf56	475.97	583.98	508	413.88	529.94	433.99
ENSG00000018699.13|TTC27	271	289	313	179	301	224
ENSG00000018869.16|ZNF582	57.61	62.65	62.77	65.34	53.89	38.61
ENSG00000019144.19|PHLDB1	3114.67	3698.46	2721.27	2008.99	2375.39	1827.44
ENSG00000019485.13|PRDM11	232	340	249	259	291	337
ENSG00000019549.12|SNAI2	85	104	125	106	163	133
ENSG00000019991.17|HGF	533	539	737	590	333	239
ENSG00000019995.6|ZRANB1	724.27	916.58	881.31	691.72	641.72	564.77
ENSG00000020129.16|NCDN	966	1221	951	775	1083	972
ENSG00000020181.17|ADGRA2	220.75	291.28	209.6	209.71	243.48	228.92
ENSG00000020256.20|ZFP64	252	335	253	200	209	247
ENSG00000020426.11|MNAT1	355	479	398	325	459	365
ENSG00000020577.13|SAMD4A	475	583	616	591	1029	745
ENSG00000020922.12|MRE11	283	546	414	352	461	467
ENSG00000021300.14|PLEKHB1	1492	1828	1852	1498	714	591
ENSG00000021574.12|SPAST	625	731	678	533	565	447
ENSG00000021762.20|OSBPL5	190	223	204	142	226	230
ENSG00000021776.11|AQR	956	1170	1201	959	1128	991
ENSG00000021826.15|CPS1	101	125	193	141	227	139
ENSG00000022267.17|FHL1	1522	1799	1573	1429	1896	1719
ENSG00000022277.12|RTF2	1751	2024.78	1913	1471.68	1736	1473
ENSG00000022567.9|SLC45A4	179	262	225	167	277	273
ENSG00000022840.16|RNF10	2219	2510	2337	1801	2310	2033
ENSG00000022976.15|ZNF839	220.36	336.46	285.37	231.05	251.3	256.48
ENSG00000023041.11|ZDHHC6	797	1014.82	915	740	1210	1058
ENSG00000023171.18|GRAMD1B	1247	1462	1309	1091	908	629
ENSG00000023191.17|RNH1	981	1193	908	749	1097	1051
ENSG00000023228.14|NDUFS1	3677.17	4159.17	4071.56	3058.22	3531.37	2968.85
ENSG00000023287.13|RB1CC1	958	1080	1091	755	974	720
ENSG00000023318.8|ERP44	1111	1250	1318	960	1116	905
ENSG00000023330.15|ALAS1	1148	1502	1336	1082	2053	1979
ENSG00000023516.9|AKAP11	1516	1858	2048	1719	1934	1655
ENSG00000023572.9|GLRX2	372.98	543.57	495.36	366.1	478.68	451.44
ENSG00000023608.5|SNAPC1	187.34	241	242	165.25	243	239.29
ENSG00000023697.13|DERA	461	543	525	404	476	409
ENSG00000023734.11|STRAP	1859	2194	1954	1497	2308	2064
ENSG00000023839.11|ABCC2	8	8	19	9	9	11
ENSG00000023892.11|DEF6	7	16	15	14	15	17
ENSG00000023902.14|PLEKHO1	362	525	488	488	658	767
ENSG00000023909.10|GCLM	424	586	429	365	612	674
ENSG00000024048.10|UBR2	1306	1498	1431	1095	1382	1113
ENSG00000024526.17|DEPDC1	662.82	858.76	1080.94	869.61	1105.7	1132.65
ENSG00000024862.17|CCDC28A	119	157	101	72.49	157	138
ENSG00000025039.14|RRAGD	2472	3335	3223	2848	3648	3580
ENSG00000025156.12|HSF2	383	436	449	374	429	373
ENSG00000025293.17|PHF20	1206	1489	1371	1107	1152	946
ENSG00000025423.11|HSD17B6	15	24	41	27	9.03	7
ENSG00000025434.19|NR1H3	333	450.01	316.01	257	279	231
ENSG00000025708.14|TYMP	20	33	27	16	35	19
ENSG00000025770.19|NCAPH2	1667.26	2070.67	1926.2	1573.79	1668.83	1612.81
ENSG00000025772.8|TOMM34	1207	1483	1360	1078	1999	1891
ENSG00000025796.14|SEC63	2336.79	2800.6	2597.85	2233.52	2615.63	2306.4
ENSG00000025800.14|KPNA6	1259.34	1646	1543	1147.23	1450	1237.98
ENSG00000026025.16|VIM	26	24	32	26	26	20
ENSG00000026036.22|RTEL1-TNFRSF6B	345.13	409.92	314.63	338.12	312.1	284.11
ENSG00000026103.22|FAS	224.02	261.14	302.01	217.45	246.08	191.14
ENSG00000026297.15|RNASET2	691	774	536.3	406.34	2230	1436.48
ENSG00000026508.18|CD44	8825	11094	9132	8096	10622	8968
ENSG00000026652.14|AGPAT4	499	512	519	386	346	274
ENSG00000026950.17|BTN3A1	953.97	1095.06	1054.69	836.4	836.39	557.61
ENSG00000027001.10|MIPEP	208	230	252	166	348	286
ENSG00000027644.5|INSRR	300	409	347	323.87	200	135
ENSG00000027697.14|IFNGR1	794	956	889	685	740	595
ENSG00000027847.14|B4GALT7	254	290	260	228	292	234
