Ctrl_417_R1B1	Ola_417_R1B1	Ctrl_417_R2B2	Ola_417_R2B2	Ctrl_417_R3B2	Ola_417_R3B2
ENSG00000011132.12|APBA3	275.7	249	202.79	249.85	208	264
ENSG00000011143.16|MKS1	459	375	333	373	375	357
ENSG00000011198.9|ABHD5	1037	727	698	762	1267	1158
ENSG00000011243.18|AKAP8L	2158.32	1705.75	1910.97	1920.66	1776.38	1773.75
ENSG00000011258.16|MBTD1	629	496	563	530	474	470
ENSG00000011260.14|UTP18	1232	895	801	979	1095	1002
ENSG00000011275.18|RNF216	3037.31	2544.51	2413.73	2629.72	2057.3	2200.09
ENSG00000011295.16|TTC19	2199.79	1644.98	1659.49	1681.17	2172.69	1993.18
ENSG00000011304.20|PTBP1	4919	4015	4392	4678	3741	4291
ENSG00000011332.19|DPF1	353	244	280	306	273	314
ENSG00000011347.9|SYT7	43	55	36	31	50	69
ENSG00000011376.11|LARS2	999	834	800	941	1059	1092
ENSG00000011405.13|PIK3C2A	2283	1753	2537	2795	1867	1787
ENSG00000011422.12|PLAUR	29	17	15	27	18	30
ENSG00000011426.11|ANLN	2564	2017	2821	2989	4413	4131
ENSG00000011451.19|WIZ	1742	1684	1484	1646	1035	1543
ENSG00000011454.17|RABGAP1	3297	2691	2839	3019	2882	2692
ENSG00000011478.12|QPCTL	136	78	124	116	89	138
ENSG00000011485.14|PPP5C	1178	901.37	972	1109.3	1016.56	1046
ENSG00000011523.14|CEP68	1053.26	796	871	988.2	812	801.17
ENSG00000011566.15|MAP4K3	1827	1410	1564	1596	1606	1415
ENSG00000011638.10|TMEM159	285	214	199	250	254	240
ENSG00000012048.22|BRCA1	1133	808	1093	1176	1647	1538
ENSG00000012061.15|ERCC1	1616.76	1238.61	1426.74	1377	1001.8	1135.75
ENSG00000012171.19|SEMA3B	209	193	183	176	72	147
ENSG00000012174.12|MBTPS2	1142.64	952.12	995.18	994.94	916.84	864.37
ENSG00000012232.8|EXTL3	6370	5401	5846	6435.34	3968	4279
ENSG00000012660.14|ELOVL5	4759	3756	4150	4449	5015	4683
ENSG00000012817.15|KDM5D	1782	1339	1440	1577	1136	1107
ENSG00000012822.16|CALCOCO1	2216	1668	1709	1691	1700	1526
ENSG00000012963.15|UBR7	2924	2222.38	2628.85	2769	3141.99	2876
ENSG00000012983.11|MAP4K5	1168	876	1078	1098	1236	1160
ENSG00000013016.16|EHD3	432	339	333	378	210	234
ENSG00000013275.7|PSMC4	1674	1285	1304	1348	1426	1451
ENSG00000013288.8|MAN2B2	555	441	560	635	417	534
ENSG00000013293.6|SLC7A14	69	35	45	43	42	33
ENSG00000013297.11|CLDN11	44	27	38	32.09	40	31
ENSG00000013306.16|SLC25A39	1829	1459	1294	1477	1291	1701
ENSG00000013364.19|MVP	1870.82	1613.91	1768.7	1771.31	1591	2011.15
ENSG00000013374.16|NUB1	1056	775	767.93	785.98	966.98	869.83
ENSG00000013375.16|PGM3	1200.77	839.24	1114.64	1140.08	1304	1191.87
ENSG00000013392.8|RWDD2A	178	183	138	146	255	219
ENSG00000013441.16|CLK1	1653	1177	1761	1796	1704	1445
ENSG00000013503.10|POLR3B	309	208	214	279	280	268
ENSG00000013523.9|ANGEL1	1511.39	1044.08	1050.43	1209.45	826.54	766.03
ENSG00000013561.18|RNF14	1226	891.96	899	991	1086	982
ENSG00000013563.14|DNASE1L1	220.8	196.04	224.87	221.29	311.91	374.3
ENSG00000013573.17|DDX11	1389.93	1026.47	1205.72	1272.12	1332.31	1488
ENSG00000013588.8|GPRC5A	237	211	213	152	334	363
ENSG00000013619.14|MAMLD1	547	416	447	454	658	776
ENSG00000013810.19|TACC3	3661	3003.68	3841	4242.04	4444	5104
ENSG00000014123.10|UFL1	303	246	291	288	263	223
ENSG00000014138.9|POLA2	1167.73	787.71	939.94	913.28	1230.89	1233.54
ENSG00000014164.7|ZC3H3	281	257	259	259	191	285
ENSG00000014216.15|CAPN1	2563	2191.46	2066.76	2311.59	2140	2715
ENSG00000014257.16|ACPP	94	65	69	87	239	235
ENSG00000014641.18|MDH1	3400.77	2619	2512	3153.25	3836	3382
ENSG00000014824.14|SLC30A9	3127	2453	2456	2602	2508	2306
ENSG00000014914.21|MTMR11	1730	1271	1563	1687	1847	1727
ENSG00000014919.12|COX15	1144.49	1022.07	881.17	1055.47	1195.77	1178.02
ENSG00000015133.19|CCDC88C	303	254	263	261	69	95
ENSG00000015153.14|YAF2	172	119	144	150	118	131
ENSG00000015171.19|ZMYND11	3058	2201	2206	2488	2206	2057
ENSG00000015285.10|WAS	35	31	24	47	23	19
ENSG00000015475.18|BID	215	177	161	161	261	277
ENSG00000015479.18|MATR3	14330.47	10888	10878.42	11805.1	11405.06	10315.84
ENSG00000015532.9|XYLT2	535	453	523	474	350	497
ENSG00000015568.13|RGPD5	182.77	194.52	127.53	9.03	188.54	391.37
ENSG00000015592.16|STMN4	18	16	17	11	3	3
ENSG00000015676.18|NUDCD3	2389	1851	2336	2408	2178	2252
ENSG00000016391.11|CHDH	62.62	48	40	31	50	57
ENSG00000016864.18|GLT8D1	966	710	751	714	907	851
ENSG00000017260.19|ATP2C1	2313.03	1901.91	1959.27	2161.79	3046.32	2854.06
ENSG00000017427.16|IGF1	21.81	23.87	15.86	8.81	30.84	34.83
ENSG00000017483.15|SLC38A5	48	24	19	35	173	200
ENSG00000017797.13|RALBP1	1716	1205	1482	1646	1842	1916.08
ENSG00000018189.13|RUFY3	1144	931	967	978	1039	940
ENSG00000018236.15|CNTN1	69	46	44	28	2505	2155
ENSG00000018280.17|SLC11A1	19	13	11	12	2	5
ENSG00000018408.14|WWTR1	236.2	155.17	167.44	152.07	373.47	364.08
ENSG00000018510.15|AGPS	1544.39	1201.66	1310	1440.71	1887	1702
ENSG00000018610.14|CXorf56	615.99	475.97	496.97	508	579	529.94
ENSG00000018699.13|TTC27	358	271	251	313	314	301
ENSG00000018869.16|ZNF582	97.63	57.61	63.56	62.77	59.16	53.89
ENSG00000019144.19|PHLDB1	3946.14	3114.67	2718.15	2721.27	2001.24	2375.39
ENSG00000019485.13|PRDM11	252	232	238	249	230	291
ENSG00000019549.12|SNAI2	116	85	124	125	211	163
ENSG00000019991.17|HGF	701	533	713	737	368	333
ENSG00000019995.6|ZRANB1	1137.59	724.27	789.06	881.31	680.34	641.72
ENSG00000020129.16|NCDN	1043	966	1016	951	910	1083
ENSG00000020181.17|ADGRA2	282.07	220.75	184.86	209.6	196.99	243.48
