LMP_417_R1B1	LMP.Olap_417_R1B1	LMP_417_R2B2	LMP.Olap_417_R2B2	LMP_417_R3B2	LMP.Olap_417_R3B2
ENSG00000017427.16|IGF1	14.93	23.89	14.88	8.89	16.77	17.88
ENSG00000017483.15|SLC38A5	25	28	28	16	222	249
ENSG00000017797.13|RALBP1	1423	1501	1450	1321	1775	1674
ENSG00000018189.13|RUFY3	992	984	807	753	746	699
ENSG00000018236.15|CNTN1	73	79	59	47	2291	1947
ENSG00000018280.17|SLC11A1	14	15	11	10	5	6
ENSG00000018408.14|WWTR1	156.01	205.18	162.14	164.15	372.24	316.56
ENSG00000018510.15|AGPS	1293	1493	1204	1040.65	1439	1452
ENSG00000018610.14|CXorf56	525.98	583.98	448	413.88	477	433.99
ENSG00000018699.13|TTC27	259	289	224	179	247	224
ENSG00000018869.16|ZNF582	93.17	62.65	82.43	65.34	50.22	38.61
ENSG00000019144.19|PHLDB1	3840	3698.46	2320.16	2008.99	2040.72	1827.44
ENSG00000019485.13|PRDM11	277	340	246	259	279	337
ENSG00000019549.12|SNAI2	103	104	109	106	148	133
ENSG00000019991.17|HGF	546	539	573	590	297	239
ENSG00000019995.6|ZRANB1	828.38	916.58	693.64	691.72	609.19	564.77
ENSG00000020129.16|NCDN	1056	1221	826	775	1041	972
ENSG00000020181.17|ADGRA2	229.31	291.28	214.63	209.71	236.87	228.92
ENSG00000020256.20|ZFP64	325	335	285	200	215	247
ENSG00000020426.11|MNAT1	413	479	386	325	435	365
ENSG00000020577.13|SAMD4A	556	583	570	591	785	745
ENSG00000020922.12|MRE11	385	546	381	352	450	467
ENSG00000021300.14|PLEKHB1	1670	1828	1649	1498	593	591
ENSG00000021574.12|SPAST	631	731	575	533	532	447
ENSG00000021762.20|OSBPL5	216	223	160	142	189	230
ENSG00000021776.11|AQR	1023	1170	1017	959	1000	991
ENSG00000021826.15|CPS1	78	125	181	141	156	139
ENSG00000022267.17|FHL1	1619	1799	1523	1429	1824	1719
ENSG00000022277.12|RTF2	2022.74	2024.78	1508	1471.68	1519	1473
ENSG00000022567.9|SLC45A4	223	262	200	167	256	273
ENSG00000022840.16|RNF10	2370	2510	1966	1801	2114	2033
ENSG00000022976.15|ZNF839	305.06	336.46	184.86	231.05	211.7	256.48
ENSG00000023041.11|ZDHHC6	884	1014.82	830	740	1126	1058
ENSG00000023171.18|GRAMD1B	1323	1462	1143	1091	618	629
ENSG00000023191.17|RNH1	939	1193	776	749	1014	1051
ENSG00000023228.14|NDUFS1	3829.69	4159.17	3370.65	3058.22	3188.07	2968.85
ENSG00000023287.13|RB1CC1	998	1080	879	755	799	720
ENSG00000023318.8|ERP44	1135	1250	1117	960	1021	905
ENSG00000023330.15|ALAS1	1408	1502	1186	1082	1913	1979
ENSG00000023516.9|AKAP11	1605	1858	1821	1719	1726	1655
ENSG00000023572.9|GLRX2	492.74	543.57	439.12	366.1	482.72	451.44
ENSG00000023608.5|SNAPC1	206	241	254	165.25	279.44	239.29
ENSG00000023697.13|DERA	499	543	447	404	426	409
ENSG00000023734.11|STRAP	2044	2194	1745	1497	2176	2064
ENSG00000023839.11|ABCC2	13	8	14	9	12	11
ENSG00000023892.11|DEF6	16	16	8	14	17	17
ENSG00000023902.14|PLEKHO1	463	525	465	488	723	767
ENSG00000023909.10|GCLM	456	586	363	365	736	674
ENSG00000024048.10|UBR2	1443	1498	1257	1095	1239	1113
ENSG00000024526.17|DEPDC1	750.7	858.76	1055.4	869.61	1121.9	1132.65
ENSG00000024862.17|CCDC28A	150	157	105	72.49	115	138
ENSG00000025039.14|RRAGD	2818	3335	2886	2848	3474	3580
ENSG00000025156.12|HSF2	424	436	385	374	451	373
ENSG00000025293.17|PHF20	1259	1489	1153	1107	1064	946
ENSG00000025423.11|HSD17B6	33.06	24	40	27	7.03	7
ENSG00000025434.19|NR1H3	419	450.01	272.02	257	196	231
ENSG00000025708.14|TYMP	27	33	34	16	14	19
ENSG00000025770.19|NCAPH2	1789.05	2070.67	1652.24	1573.79	1488	1612.81
ENSG00000025772.8|TOMM34	1396	1483	1188	1078	1983	1891
ENSG00000025796.14|SEC63	2435.44	2800.6	2465.77	2233.52	2602.7	2306.4
