Ctrl_417_R1B1	LMP_417_R1B1	Ola_417_R1B1	LMP.Olap_417_R1B1	Ctrl_417_R2B2	LMP_417_R2B2	Ola_417_R2B2	LMP.Olap_417_R2B2	Ctrl_417_R3B2	LMP_417_R3B2	Ola_417_R3B2	LMP.Olap_417_R3B2
ENSG00000007944.15|MYLIP	252	242	166	278	228	283	254	172	154	136	146	120
ENSG00000007968.7|E2F2	498	447	381	650	536	506	522	530	504	470	519	533
ENSG00000008018.9|PSMB1	3384	2620	2390	2900	2360	2233	2662	1895	3126	2922	2895	2747
ENSG00000008056.14|SYN1	91	88	61	96	65	63	86	62.45	62	51	85	56.3
ENSG00000008083.14|JARID2	507	509	471	548	502	408	472	361	528	539	561	488
ENSG00000008086.11|CDKL5	368	294	278	347	380	300	316	333	331	252	308	224
ENSG00000008118.10|CAMK1G	206	172	131	167	185	142	177	118	284	219	313	174
ENSG00000008128.23|CDK11A	615.84	647.53	514.74	576.53	500.89	500.26	546.53	425.33	517.11	526.31	569.41	498.22
ENSG00000008130.15|NADK	1531	1495	1259	1586	1122	1090	1229	996	1222	1311	1437	1278
ENSG00000008196.13|TFAP2B	24	15	12	17	21	20	28	12	12	5	12	4
ENSG00000008256.16|CYTH3	736	812	666	855	671	664	793	594	883	854	887	857
ENSG00000008277.14|ADAM22	1620	1307	1220	1442	1723	1514	1716	1410	672	556	611	466
ENSG00000008282.8|SYPL1	1649	1301	1223	1579	1295	1365	1535	1260	1704	1395	1542	1256
ENSG00000008283.16|CYB561	159	139	91	142	107	102	86	103	126	184	170	170
ENSG00000008294.21|SPAG9	5114	4405	3923	4651	4519	4273	4750	3885	5005	3952	4754	3708
ENSG00000008300.17|CELSR3	1620	1495	1227	1623	1034	984	1072	974	1420	1684	1666	1807
ENSG00000008311.15|AASS	5187	4614.99	3976	4814	4421	4112.99	4804	3907.99	4361	3447	3952	3091
ENSG00000008324.11|SS18L2	162.14	137.06	114	171	147	132	156.04	144.04	274.1	235	227.07	215
ENSG00000008382.15|MPND	433.94	432.06	363.98	515.97	238	270.96	310.17	232.46	281.96	291.96	371	349.78
ENSG00000008394.13|MGST1	70	61	54	81	46	33	53	30	295	249	216	225
ENSG00000008405.12|CRY1	1206	1006	907	1086	1011	1048	1091	895	1183	1031	1052	946
ENSG00000008441.16|NFIX	11774.72	11584	10038	12159	10166	8808	10723	8705.71	7415	7250	8593	7370
ENSG00000008513.16|ST3GAL1	304	252	238	265	260	196	264	208	403	333	419	383
ENSG00000008516.17|MMP25	9.65	4.35	9.19	5.27	9.4	7.2	4.48	4	11	16.83	5.78	14.82
ENSG00000008517.16|IL32	15	12	10	23	16	16	11	20	81	93	74	100
ENSG00000008710.19|PKD1	2226.66	2214.86	2052.51	2488.77	2034.7	1945.22	2043.28	2240.2	1077.92	1709.17	1694.89	1820.66
ENSG00000008735.14|MAPK8IP2	603	694	594	769	524	471	517	434	750	877	1028	1046
ENSG00000008838.20|MED24	2283	2207	1931	2458	1770	1681	1942	1613	1569	1773	1873	1794
ENSG00000008853.16|RHOBTB2	740.6	777.72	638.68	826.82	623.12	633.79	661.92	552.37	659.66	730.09	799.71	723.68
ENSG00000008869.12|HEATR5B	1188	979	854	983	1064	928	1123	841	1056	809	1025	742
ENSG00000008952.17|SEC62	3406	2848	2607	2885	2535	2539	2869	2191	2912	2437	2565	2262
ENSG00000008988.9|RPS20	4826	4073	3689.99	4521	3736.99	3557	4018.99	3191.98	4269	4075	4234	3823.99
ENSG00000009307.16|CSDE1	9162.96	7497	7151	8329	7469	6769	7989	5907	9060	7734.94	8362	7159
ENSG00000009335.18|UBE3C	2901	2421	2210	2608	2322	2113	2586	1786	2894	2669	2836	2443
ENSG00000009413.15|REV3L	7412.95	5650	5732.39	6775.25	7209.8	6318.49	7592.02	5918.27	5251.38	4158.5	5077.94	3867.53
ENSG00000009694.13|TENM1	1027	626	770	582	1210	739	1072	764	1098	527	1030	438
ENSG00000009724.16|MASP2	117	102	78	98	64	68	81	60	62	82	70	62
ENSG00000009780.15|FAM76A	278	285	225	244	240	208	219	190	198	158	166	164
ENSG00000009790.15|TRAF3IP3	0	0	6.62	2.04	10.02	1.35	4.78	5.07	6.05	0	3.46	2.03
ENSG00000009830.11|POMT2	1457	1194	1072	1316	1187	975	1244	924	883	845	970	889
ENSG00000009844.16|VTA1	1368	1085	991	1167	1049	975	1216	915	1188	1130	1184	981
ENSG00000009950.16|MLXIPL	11	20	14	20	9	18	12	14	25	33	26	41
ENSG00000009954.11|BAZ1B	5311	4615	4436	5263	4831	4605	4912	4084	5320	5105	5219	4857
ENSG00000010017.13|RANBP9	2350.89	1814.63	1725.5	2090.55	1804.99	1629.12	1882.34	1589.18	2131.47	1981.94	2026.48	1881.03
ENSG00000010030.14|ETV7	11	3	9	6	12	4	8	5	31	6	14	2
ENSG00000010072.16|SPRTN	342.18	297.67	290.14	371.56	333.95	317.87	373.2	253.8	364.17	336.8	261.66	281.57
ENSG00000010165.20|EEF1AKNMT	1192	964	799	1096	863	871	1001	836	1194	1121	1163	1198
ENSG00000010219.13|DYRK4	320.94	278.87	228	286	265	228	242.83	208.39	238.53	188	245	165
ENSG00000010244.18|ZNF207	5351	4294	3725.18	4550.17	4266	3726	4574	3701	5117	3931	4518	3527
ENSG00000010256.11|UQCRC1	3303	3027	2555	3299	2431	2396	2790	2041	3019	3180	3346	3321
ENSG00000010270.13|STARD3NL	1413	1147	1061	1307	1232	1203	1325	1037	1432	1233	1220	1144
ENSG00000010278.14|CD9	1265	1107	1001	1352	1308	1453	1290	1404	1672	1703	1532	1607
ENSG00000010292.13|NCAPD2	4394.2	3740.58	3328.62	4680.66	4075.88	4174.69	4506.07	3821.94	6005.28	5486.18	5835.61	5548.18
ENSG00000010295.19|IFFO1	2350	2264	2014	2460	2433	2139	2565	2072.93	2082	2056	2489	2043
ENSG00000010310.9|GIPR	252	220	184	274	173	167	154	148	280	221	276	246
ENSG00000010318.21|PHF7	235	263	191	252	225	215	218	175	193	216	208	191
ENSG00000010322.16|NISCH	2502	2460	2141	2857	2091	1825	2072	1826	2234	2369	2826	2553
ENSG00000010361.13|FUZ	406.28	356.88	302.76	405.25	277.11	258.73	335.43	272.73	249.38	248.29	306.93	255.41
ENSG00000010404.18|IDS	8011.52	6144.63	5792.93	6893.19	6838.21	5677.96	6486.46	5163.23	6290.47	5428.19	5852.06	5158.76
ENSG00000010438.16|PRSS3	2	2	3	6	0	3	1	3	70	92	70	70
ENSG00000010539.11|ZNF200	275	219	174	296	232	200	282	225	320	276	293	259.83
ENSG00000010610.10|CD4	10	11	5	8	4	7	5	5	1	3	2	2
ENSG00000010626.15|LRRC23	158.03	148.78	134.54	136.37	123.15	133.13	145.72	108.39	87.41	90.78	95.18	84.75
ENSG00000010803.16|SCMH1	1677.99	1378.99	1293	1511	1448.98	1234.99	1567.99	1131.98	1325.99	1035.99	1300	1008.99
ENSG00000010810.17|FYN	6882	5455	5357	5804	6332	5284	6823	4972	5176	3687	4824	3253
ENSG00000010818.10|HIVEP2	223	215.03	187	280	204	221	226.86	253	331	339	375	319
ENSG00000011007.12|ELOA	2388.59	2035.35	1821.29	2238.19	1924.85	1757.93	2081.62	1686.56	2359.15	2174.38	2272.16	2023.13
ENSG00000011009.11|LYPLA2	574	514	397	505	413	395	393	299	567	710	676	668
ENSG00000011021.23|CLCN6	2212.28	2072.17	1843.74	2094.37	1855.06	1516.6	1931.44	1485.27	1976.96	1697.98	2132.55	1600.94
ENSG00000011028.14|AC080038.1	499	501	478.89	645	394.66	372	448.96	429	606	772.82	757.75	821.85
ENSG00000011052.21|NME1-NME2	257.1	372.1	319.01	286.44	247.37	299.05	430.35	279.93	53.25	302.49	368.48	400.89
