Ctrl_602_R1B1	LMP_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2
ENSG00000021300.14|PLEKHB1	1666	1683	1447	1770
ENSG00000021574.12|SPAST	398	389	464	449
ENSG00000021762.20|OSBPL5	336	321	346	369
ENSG00000021776.11|AQR	2071	2114	2424	2432
ENSG00000021826.15|CPS1	1432	1410	1552	1417
ENSG00000022267.17|FHL1	811	730	718	795
ENSG00000022277.12|RTF2	2117.74	1977	2081	2231.77
ENSG00000022567.9|SLC45A4	205	264	219	295
ENSG00000022840.16|RNF10	1424	1371	1540	1641
ENSG00000022976.15|ZNF839	231.31	268.13	217.88	314.67
ENSG00000023041.11|ZDHHC6	501	460	639.47	595
ENSG00000023171.18|GRAMD1B	29	33	19	28
ENSG00000023191.17|RNH1	1210	1221	1131	1341
ENSG00000023228.14|NDUFS1	2965.85	3093.75	3208.49	3400.44
ENSG00000023287.13|RB1CC1	860	916	1087	1038
ENSG00000023318.8|ERP44	927	902	1024	1052
ENSG00000023330.15|ALAS1	772	752	814	863
ENSG00000023516.9|AKAP11	797	918	1121	1028
ENSG00000023572.9|GLRX2	428.41	404.1	438.83	390.84
ENSG00000023608.5|SNAPC1	277.46	341	330.86	349
ENSG00000023697.13|DERA	368	359	388	339
ENSG00000023734.11|STRAP	1724	1710	1742	1878
ENSG00000023839.11|ABCC2	11	11	9	9
ENSG00000023902.14|PLEKHO1	1014	956	891	1130
ENSG00000023909.10|GCLM	168	180	242	259
ENSG00000024048.10|UBR2	902	1035	1150	1170
ENSG00000024422.12|EHD2	1169	1249	1167	1480
ENSG00000024526.17|DEPDC1	523.44	692.21	617.55	690.64
ENSG00000024862.17|CCDC28A	71	87	113	77
ENSG00000025039.14|RRAGD	719	842	712	761
ENSG00000025156.12|HSF2	485	489	524	467
ENSG00000025293.17|PHF20	1331	1561	1507	1528
ENSG00000025423.11|HSD17B6	16	20	21	19.21
ENSG00000025434.19|NR1H3	195	241.01	187	259
ENSG00000025708.14|TYMP	26	23	15	11
ENSG00000025770.19|NCAPH2	1387.46	1443.56	1366.95	1765.58
ENSG00000025772.8|TOMM34	977	953	849	1001
ENSG00000025796.14|SEC63	2063.66	2167.61	2286.76	2282.58
ENSG00000025800.14|KPNA6	1699.46	1805	1799.15	1931.9
ENSG00000026025.16|VIM	39851.08	37441.16	44044.84	46687.57
ENSG00000026036.22|RTEL1-TNFRSF6B	487.22	660.86	479.68	695.74
ENSG00000026297.15|RNASET2	43	35	36	37
ENSG00000026508.18|CD44	2512	2662	3015	3300
ENSG00000026652.14|AGPAT4	931	935	1000	1116
ENSG00000026950.17|BTN3A1	270.62	259.08	233.42	275.35
ENSG00000027001.10|MIPEP	529	435.16	500	503
ENSG00000027075.15|PRKCH	459	434	446.26	461
ENSG00000027644.5|INSRR	107	98	92	113
ENSG00000027697.14|IFNGR1	386	467	483	478
ENSG00000027847.14|B4GALT7	213	225	200	215
ENSG00000028137.19|TNFRSF1B	338	381	375	567
ENSG00000028203.18|VEZT	774	835	934	928
ENSG00000028277.21|POU2F2	12	19	16	20
ENSG00000028310.18|BRD9	1563.05	1483.9	1479.32	1665.09
ENSG00000028528.15|SNX1	2984	2939	3118	3128
ENSG00000028839.10|TBPL1	248.58	281.42	261.73	281.78
ENSG00000029153.14|ARNTL2	309	371	377	411
ENSG00000029363.16|BCLAF1	4176.33	4504.23	4644.84	4614.2
ENSG00000029364.12|SLC39A9	1009	1064	1133	1140
ENSG00000029534.20|ANK1	94	64	72	66
ENSG00000029639.11|TFB1M	155.83	163.09	160.78	180.69
ENSG00000029725.17|RABEP1	1703.39	1654.5	1787.28	1842.71
ENSG00000029993.15|HMGB3	1864	2037	1945.99	2110
ENSG00000030066.13|NUP160	2198	2345	2577	2507
ENSG00000030110.13|BAK1	261	267	312	341
ENSG00000030419.16|IKZF2	50	74	70	56
ENSG00000030582.18|GRN	2740	2770	2156	2943
ENSG00000031003.10|FAM13B	680	831	750	845
ENSG00000031081.10|ARHGAP31	1440	1371	1480	1543
ENSG00000031691.7|CENPQ	217	244	250	253
ENSG00000031698.13|SARS	1276	1301	1326	1388
ENSG00000031823.14|RANBP3	1366	1459	1345	1635
ENSG00000032219.18|ARID4A	905	1073	960	1091
ENSG00000032389.12|EIPR1	408	293	344	342
ENSG00000032444.16|PNPLA6	412	451	401	529
ENSG00000032742.17|IFT88	412	434	481	415
ENSG00000033011.12|ALG1	276.29	268.72	235.85	242.3
ENSG00000033030.13|ZCCHC8	363	423	386	540
ENSG00000033050.9|ABCF2	781.19	707.79	746.2	757
ENSG00000033100.16|CHPF2	475	468	461	510
ENSG00000033170.16|FUT8	329.34	298.43	347.81	301.79
ENSG00000033178.13|UBA6	1210	1320	1480	1479
ENSG00000033327.13|GAB2	5302	4981	4763	5291
ENSG00000033627.16|ATP6V0A1	1691	1658	1647	1738
ENSG00000033800.13|PIAS1	981.7	1103.89	1076.94	1150.98
ENSG00000033867.16|SLC4A7	422	535	603	565
ENSG00000034053.14|APBA2	2661	2685	2551	2734
ENSG00000034152.18|MAP2K3	507	466	459	536
ENSG00000034510.6|TMSB10	7039	6903	7771	9202
ENSG00000034533.11|ASTE1	197.24	183.67	188.56	244.96
ENSG00000034677.13|RNF19A	1419	1532	1851.2	1780
ENSG00000034693.15|PEX3	147.84	149	161	139
ENSG00000034713.8|GABARAPL2	970	966	1201	1152
ENSG00000035115.21|SH3YL1	330	320	437	371
ENSG00000035141.8|FAM136A	874	890	899	986
ENSG00000035403.17|VCL	671.5	704.03	684.34	778.76
ENSG00000035499.13|DEPDC1B	522	613	631	723
ENSG00000035664.11|DAPK2	150	157	144	179
ENSG00000035681.9|NSMAF	1032	1073	1126	1136
ENSG00000035687.10|ADSS	827	786	989	1007
ENSG00000035862.12|TIMP2	10166.06	10716.13	9764.09	10485.66
ENSG00000035928.16|RFC1	2120	2263	2369	2475
ENSG00000036054.13|TBC1D23	638	644	715	754
ENSG00000036257.13|CUL3	1680	1781	1906	1875
ENSG00000036448.10|MYOM2	65	55	37	52
ENSG00000036530.8|CYP46A1	19	19	22	14
ENSG00000036549.13|AC118549.1	560	525	590	559
ENSG00000036565.15|SLC18A1	191	302	234	411
ENSG00000036672.16|USP2	210	238	180	238
ENSG00000037042.9|TUBG2	602.17	597.61	585.62	675.1
ENSG00000037241.7|RPL26L1	321.92	339.93	327	370
ENSG00000037280.16|FLT4	27	37	20	29
