Ctrl_827_R1B1	Ola_827_R1B1	Ctrl_827_R2B1	Ola_827_R2B1	Ctrl_827_R3B2	Ola_827_R3B2
ENSG00000015676.18|NUDCD3	3326	2936	2675	2441	3439	2820
ENSG00000016391.11|CHDH	551	461	238.72	317	561.94	401
ENSG00000016864.18|GLT8D1	1548.02	1372	2059	1426	1595.02	1328
ENSG00000017260.19|ATP2C1	2675.4	2436.6	2824.94	2419.08	2710.47	2182.83
ENSG00000017797.13|RALBP1	1402	1229	1491	1184	1584	1136
ENSG00000018189.13|RUFY3	932	985	1405	1039	989	813
ENSG00000018408.14|WWTR1	16111.85	14537.55	12820.03	12307.78	16204.6	13274.33
ENSG00000018510.15|AGPS	1121	1016	783	937	1330	983
ENSG00000018610.14|CXorf56	252	195.96	222	214.98	252	205
ENSG00000018625.14|ATP1A2	13	34	25	27	20	13
ENSG00000018699.13|TTC27	571	467	454	363	565	441
ENSG00000018869.16|ZNF582	82.9	71.81	47.74	42.42	85.62	59.92
ENSG00000019144.19|PHLDB1	4382.84	3871.88	2966.12	3381.43	5120.86	4040.13
ENSG00000019485.13|PRDM11	147	137	132	119	195	160
ENSG00000019549.12|SNAI2	1597	1410	2658	1761	2280	1989
ENSG00000019995.6|ZRANB1	602.45	521.57	842.83	536.38	652.93	537.79
ENSG00000020129.16|NCDN	741	710	441	561	898.86	682
ENSG00000020181.17|ADGRA2	147.42	132.62	172.51	148.84	181.44	166.2
ENSG00000020256.20|ZFP64	584	513	350	425	692	562
ENSG00000020426.11|MNAT1	254	188	193	150	291	222
ENSG00000020577.13|SAMD4A	912	849	2177	1207	938	789
ENSG00000020922.12|MRE11	860	787	530	607	888	683
ENSG00000021300.14|PLEKHB1	1599	1461	1168	1204	1957	1493
ENSG00000021355.13|SERPINB1	135	150	176	135	183	152
ENSG00000021574.12|SPAST	522	460	426	424	608	459
ENSG00000021645.18|NRXN3	209	221	200	243	308	258
ENSG00000021762.20|OSBPL5	424	324	335	327	482	424
ENSG00000021776.11|AQR	1373	1142	1061	1053	1365	1044
ENSG00000021826.15|CPS1	406	385	334	259	367	291
ENSG00000022267.17|FHL1	1065	926	1690	1166	1217	973
