Ctrl_602_R1B1	Ola_602_R1B1	Ctrl_602_R2B2	Ola_602_R2B2
ENSG00000025800.14|KPNA6	1699.46	2008.94	1799.15	1657.58
ENSG00000026025.16|VIM	39851.08	42988.06	44044.84	46175.8
ENSG00000026036.22|RTEL1-TNFRSF6B	487.22	760.03	479.68	594.52
ENSG00000026297.15|RNASET2	43	40	36	26
ENSG00000026508.18|CD44	2512	2742	3015	3086
ENSG00000026652.14|AGPAT4	931	1133	1000	947
ENSG00000026950.17|BTN3A1	270.62	263.17	233.42	228.66
ENSG00000027001.10|MIPEP	529	479	500	446
ENSG00000027075.15|PRKCH	459	546	446.26	436
ENSG00000027644.5|INSRR	107	127	92	110
ENSG00000027697.14|IFNGR1	386	478	483	405
ENSG00000027847.14|B4GALT7	213	193	200	231
ENSG00000028137.19|TNFRSF1B	338	361	375	403
ENSG00000028203.18|VEZT	774	886	934	757
ENSG00000028277.21|POU2F2	12	10	16	19
ENSG00000028310.18|BRD9	1563.05	1725.84	1479.32	1420.57
ENSG00000028528.15|SNX1	2984	3268	3118	2762
ENSG00000028839.10|TBPL1	248.58	282.45	261.73	260.98
ENSG00000029153.14|ARNTL2	309	404	377	328
ENSG00000029363.16|BCLAF1	4176.33	4925	4644.84	3968
ENSG00000029364.12|SLC39A9	1009	1204	1133	1062
ENSG00000029534.20|ANK1	94	83	72	56
ENSG00000029639.11|TFB1M	155.83	201.93	160.78	168.59
ENSG00000029725.17|RABEP1	1703.39	2045.1	1787.28	1570.12
ENSG00000029993.15|HMGB3	1864	2210	1945.99	1777
ENSG00000030066.13|NUP160	2198	2715	2577	2423
ENSG00000030110.13|BAK1	261	321	312	295
ENSG00000030419.16|IKZF2	50	75	70	46
ENSG00000030582.18|GRN	2740	2892	2156	2737
ENSG00000031003.10|FAM13B	680	792	750	724
ENSG00000031081.10|ARHGAP31	1440	1440	1480	1358
ENSG00000031691.7|CENPQ	217	291	250	210
ENSG00000031698.13|SARS	1276	1332	1326	1248
ENSG00000031823.14|RANBP3	1366	1570	1345	1377
ENSG00000032219.18|ARID4A	905	1107	960	843
ENSG00000032389.12|EIPR1	408	384	344	335
ENSG00000032444.16|PNPLA6	412	493	401	446
ENSG00000032742.17|IFT88	412	505	481	381
ENSG00000033011.12|ALG1	276.29	277.39	235.85	227.79
ENSG00000033030.13|ZCCHC8	363	459	386	437
ENSG00000033050.9|ABCF2	781.19	748.83	746.2	591.15
ENSG00000033100.16|CHPF2	475	559	461	445
ENSG00000033170.16|FUT8	329.34	350.87	347.81	335.54
ENSG00000033178.13|UBA6	1210	1498	1480	1391
ENSG00000033327.13|GAB2	5302	5864	4763	4728
ENSG00000033627.16|ATP6V0A1	1691	1842	1647	1674
ENSG00000033800.13|PIAS1	981.7	1183.45	1076.94	997.31
ENSG00000033867.16|SLC4A7	422	561	603	511
ENSG00000034053.14|APBA2	2661	3099	2551	2616
ENSG00000034152.18|MAP2K3	507	547	459	538
ENSG00000034510.6|TMSB10	7039	7291	7771	7862
ENSG00000034533.11|ASTE1	197.24	213.71	188.56	191.54
ENSG00000034677.13|RNF19A	1419	1752.41	1851.2	1781.8
ENSG00000034693.15|PEX3	147.84	155	161	146
ENSG00000034713.8|GABARAPL2	970	1046	1201	1096
ENSG00000035115.21|SH3YL1	330	383	437	310
ENSG00000035141.8|FAM136A	874	966	899	818
