Ola_827_R1B1	LMP.Olap_827_R1B1	Ola_827_R2B1	LMP.Olap_827_R2B1	Ola_827_R3B2	LMP.Olap_827_R3B2
ENSG00000019144.19|PHLDB1	3871.88	3826.15	3381.43	4834.13	4040.13	3628.72
ENSG00000019485.13|PRDM11	137	139	119	183	160	148
ENSG00000019549.12|SNAI2	1410	1360	1761	1965	1989	1766
ENSG00000019995.6|ZRANB1	521.57	555.8	536.38	674.91	537.79	452.31
ENSG00000020129.16|NCDN	710	788	561	1014	682	703
ENSG00000020181.17|ADGRA2	132.62	112.04	148.84	175.14	166.2	128.38
ENSG00000020256.20|ZFP64	513	549	425	643	562	469
ENSG00000020426.11|MNAT1	188	174	150	214	222	152
ENSG00000020577.13|SAMD4A	849	749	1207	1038	789	627
ENSG00000020922.12|MRE11	787	645	607	683	683	691
ENSG00000021300.14|PLEKHB1	1461	1686	1204	1891	1493	1565
ENSG00000021355.13|SERPINB1	150	185	135	199	152	181
ENSG00000021574.12|SPAST	460	506	424	504	459	472
ENSG00000021645.18|NRXN3	221	121	243	167	258	119
ENSG00000021762.20|OSBPL5	324	338	327	478	424	263
ENSG00000021776.11|AQR	1142	1123	1053	1167	1044	994
ENSG00000021826.15|CPS1	385	300	259	264	291	232
ENSG00000022267.17|FHL1	926	996	1166	1252	973	917
ENSG00000022277.12|RTF2	2220	2421	1948	2664	2121.6	2132
ENSG00000022567.9|SLC45A4	216	227	208	302	225	185
ENSG00000022840.16|RNF10	2125	2278	2220	2699	2222	2068
ENSG00000022976.15|ZNF839	201.93	213.32	147.38	242.57	200.3	190.77
ENSG00000023041.11|ZDHHC6	627	632	541	674	546	509
ENSG00000023171.18|GRAMD1B	153	177	143	182	146	129
ENSG00000023191.17|RNH1	1203	1356	1287	1874	1463	1287
ENSG00000023228.14|NDUFS1	2894.56	3124.69	2711.48	3384.53	2874.75	2725.04
ENSG00000023287.13|RB1CC1	1204	1025	1119	1260	1031	996
ENSG00000023318.8|ERP44	1067	1058	1022	1137	1074	943
ENSG00000023330.15|ALAS1	1536	1712	1227	1884	1439	1414
ENSG00000023516.9|AKAP11	1208	1117	908	1117	1030	966
ENSG00000023572.9|GLRX2	449.12	465.7	353.84	542	420.83	343.53
ENSG00000023608.5|SNAPC1	181	157.4	126.77	171	160	166.55
ENSG00000023697.13|DERA	433	384	405	411	475	381
ENSG00000023734.11|STRAP	2711	2795	2161	2868	2620	2445
ENSG00000023902.14|PLEKHO1	543	519	676	759	690	597
ENSG00000023909.10|GCLM	582	590	605	531	638	562
ENSG00000024048.10|UBR2	907	1017	858	1064	850	825
ENSG00000024422.12|EHD2	1287	1658	2214	2606	1665	1755
ENSG00000024526.17|DEPDC1	1337.43	702.8	976.67	806.13	1227.77	895.65
ENSG00000024862.17|CCDC28A	203	200.92	489	346	214.81	181
ENSG00000025039.14|RRAGD	322	320	586	451	387	303
ENSG00000025156.12|HSF2	431	468	409	450	436	398
ENSG00000025293.17|PHF20	1482	1497	1303	1672	1334	1236
ENSG00000025423.11|HSD17B6	63	51	54	49.06	54	41
ENSG00000025434.19|NR1H3	127	163	112	200	143	142
ENSG00000025770.19|NCAPH2	788.33	778.14	727.24	1095.65	983.2	859.54
ENSG00000025772.8|TOMM34	874	952	648	1131	846	852
ENSG00000025796.14|SEC63	1554.88	1506.43	1751.86	1739.66	1480.7	1307.69
ENSG00000025800.14|KPNA6	1583.48	1641.59	1512	1804	1467	1405
ENSG00000026025.16|VIM	60956.04	62655.91	84734.88	89473.94	64584.54	59066.48
ENSG00000026036.22|RTEL1-TNFRSF6B	209.53	246.48	219.29	369.61	373.2	221.58
